year,mergecode,totaltest,mathpass,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,districtcode,white,black,hispanic,lowincome,totalenroll,year_21,state
21,875-701indiana,288,23.61,180603001060,0.41,0.11,0.49,0.31,0,875indiana,47.64,3.25,43.22,51.43,1291,1,indiana
17,1000-833indiana,104,18.27,180192000249,0.0,0.0,1.0,0.0,0,1000indiana,76.14,9.11,6.51,56.18,461,0,indiana
18,1000-833indiana,112,12.5,180192000249,0.0,0.0,1.0,0.0,0,1000indiana,72.27,9.09,8.41,60.0,440,0,indiana
19,1000-833indiana,88,18.18,180192000249,0.0,0.0,1.0,0.0,0,1000indiana,73.52,9.59,8.45,61.42,438,0,indiana
21,1000-833indiana,104,19.23,180192000249,0.03,0.16,0.82,0.17,0,1000indiana,69.97,9.63,11.61,39.09,353,1,indiana
17,1010-809indiana,63,34.92,180394000672,0.0,0.0,1.0,0.0,0,1010indiana,94.64,0.27,2.14,43.7,373,0,indiana
18,1010-809indiana,54,42.59,180394000672,0.0,0.0,1.0,0.0,0,1010indiana,93.6,0.0,3.78,49.42,344,0,indiana
19,1010-809indiana,43,23.26,180394000672,0.0,0.0,1.0,0.0,0,1010indiana,94.75,0.0,2.92,48.1,343,0,indiana
21,1010-809indiana,44,15.91,180394000672,0.0,0.17,0.83,0.17,0,1010indiana,93.5,0.0,2.17,43.65,323,1,indiana
17,1010-821indiana,174,42.53,180394000663,0.0,0.0,1.0,0.0,0,1010indiana,81.32,3.02,11.21,39.37,696,0,indiana
18,1010-821indiana,151,30.46,180394000663,0.0,0.0,1.0,0.0,0,1010indiana,82.61,3.3,9.34,41.24,696,0,indiana
19,1010-821indiana,172,20.93,180394000663,0.0,0.0,1.0,0.0,0,1010indiana,82.2,3.33,9.55,39.94,691,0,indiana
21,1010-821indiana,161,17.39,180394000663,0.0,0.15,0.85,0.15,0,1010indiana,81.83,3.77,10.63,40.65,743,1,indiana
17,1010-849indiana,527,26.19,180394000666,0.0,0.0,1.0,0.0,0,1010indiana,58.9,18.74,11.3,49.41,2044,0,indiana
18,1010-849indiana,493,27.18,180394000666,0.0,0.0,1.0,0.0,0,1010indiana,57.01,19.4,12.44,54.79,2026,0,indiana
19,1010-849indiana,488,25.41,180394000666,0.0,0.0,1.0,0.0,0,1010indiana,55.92,19.85,13.07,52.04,2035,0,indiana
21,1010-849indiana,401,17.21,180394000666,0.0,0.34,0.66,0.34,0,1010indiana,50.61,20.81,16.17,49.2,2134,1,indiana
17,1125-897indiana,57,42.11,180084000157,0.0,0.0,1.0,0.0,0,1125indiana,97.36,0.0,1.32,35.88,379,0,indiana
18,1125-897indiana,64,43.75,180084000157,0.0,0.0,1.0,0.0,0,1125indiana,96.3,0.26,1.59,39.95,378,0,indiana
19,1125-897indiana,62,33.87,180084000157,0.0,0.0,1.0,0.0,0,1125indiana,96.5,0.0,1.89,36.66,371,0,indiana
21,1125-897indiana,59,42.37,180084000157,0.0,0.11,0.89,0.11,0,1125indiana,96.04,0.0,2.64,37.47,379,1,indiana
17,1125-933indiana,242,38.43,180084000154,0.0,0.0,1.0,0.0,0,1125indiana,94.73,0.68,1.37,47.07,1024,0,indiana
18,1125-933indiana,239,32.64,180084000154,0.0,0.0,1.0,0.0,0,1125indiana,95.45,0.79,1.38,52.32,1011,0,indiana
19,1125-933indiana,235,31.49,180084000154,0.0,0.0,1.0,0.0,0,1125indiana,95.28,0.39,1.97,50.39,1016,0,indiana
21,1125-933indiana,214,42.99,180084000154,0.03,0.08,0.89,0.09,0,1125indiana,94.97,0.8,1.71,43.82,995,1,indiana
17,1150-957indiana,66,33.33,180213000257,0.0,0.0,1.0,0.0,0,1150indiana,96.76,0.23,1.85,38.19,432,0,indiana
18,1150-957indiana,70,27.14,180213000257,0.0,0.0,1.0,0.0,0,1150indiana,94.88,0.73,2.93,43.17,410,0,indiana
19,1150-957indiana,66,39.39,180213000257,0.0,0.0,1.0,0.0,0,1150indiana,93.59,0.95,4.28,37.05,421,0,indiana
21,1150-957indiana,62,32.26,180213000257,0.0,0.0,1.0,0.0,0,1150indiana,92.87,0.95,5.23,35.39,421,1,indiana
17,1160-977indiana,88,31.82,180216000258,0.0,0.0,1.0,0.0,0,1160indiana,90.14,0.19,8.12,37.91,517,0,indiana
18,1160-977indiana,88,36.36,180216000258,0.0,0.0,1.0,0.0,0,1160indiana,90.0,0.37,9.26,42.41,540,0,indiana
19,1160-977indiana,77,20.78,180216000258,0.0,0.0,1.0,0.0,0,1160indiana,88.29,0.35,10.49,41.96,572,0,indiana
21,1160-977indiana,95,26.32,180216000258,0.18,0.0,0.82,0.09,0,1160indiana,89.71,0.37,8.46,35.29,544,1,indiana
17,1170-997indiana,250,14.4,180366000574,0.0,0.0,1.0,0.0,0,1170indiana,50.29,0.81,46.69,68.87,861,0,indiana
18,1170-997indiana,197,8.63,180366000574,0.0,0.0,1.0,0.0,0,1170indiana,46.64,0.98,50.54,70.82,922,0,indiana
19,1170-997indiana,219,8.22,180366000574,0.0,0.0,1.0,0.0,0,1170indiana,46.46,1.0,50.88,71.35,904,0,indiana
21,1170-997indiana,203,7.39,180366000574,0.0,0.0,1.0,0.0,0,1170indiana,43.94,0.11,54.06,67.96,899,1,indiana
17,1180-1021indiana,66,42.42,180972001590,0.0,0.0,1.0,0.0,0,1180indiana,94.14,0.92,2.75,23.99,546,0,indiana
18,1180-1021indiana,80,38.75,180972001590,0.0,0.0,1.0,0.0,0,1180indiana,94.59,0.93,2.05,25.37,536,0,indiana
19,1180-1021indiana,86,33.72,180972001590,0.0,0.0,1.0,0.0,0,1180indiana,95.21,0.38,1.92,24.9,522,0,indiana
21,1180-1021indiana,69,43.48,180972001590,0.0,0.08,0.92,0.08,0,1180indiana,92.43,0.6,4.18,24.3,502,1,indiana
17,1300-1059indiana,99,43.43,180244000279,0.0,0.0,1.0,0.0,0,1300indiana,98.03,0.22,0.22,54.27,457,0,indiana
18,1300-1059indiana,119,40.34,180244000279,0.0,0.0,1.0,0.0,0,1300indiana,95.78,0.0,2.0,55.11,450,0,indiana
19,1300-1059indiana,98,46.94,180244000279,0.0,0.0,1.0,0.0,0,1300indiana,96.22,0.0,1.78,54.89,450,0,indiana
21,1300-1059indiana,90,33.33,180244000279,0.03,0.33,0.64,0.35,0,1300indiana,96.25,0.23,1.41,52.93,427,1,indiana
17,1315-1069indiana,46,58.7,180033000061,0.0,0.0,1.0,0.0,0,1315indiana,98.19,0.26,0.52,24.29,387,0,indiana
18,1315-1069indiana,58,60.34,180033000061,0.0,0.0,1.0,0.0,0,1315indiana,97.27,0.5,0.74,28.04,403,0,indiana
19,1315-1069indiana,59,72.88,180033000061,0.0,0.0,1.0,0.0,0,1315indiana,96.84,0.0,1.35,27.09,443,0,indiana
21,1315-1069indiana,55,72.73,180033000061,0.0,0.05,0.95,0.05,0,1315indiana,97.06,0.21,1.89,22.22,477,1,indiana
17,1375-1121indiana,71,49.3,180771001319,0.0,0.0,1.0,0.0,0,1375indiana,95.57,0.63,1.05,42.19,474,0,indiana
18,1375-1121indiana,84,35.71,180771001319,0.0,0.0,1.0,0.0,0,1375indiana,95.45,0.62,1.45,44.1,483,0,indiana
19,1375-1121indiana,80,42.5,180771001319,0.0,0.0,1.0,0.0,0,1375indiana,94.55,0.42,2.1,43.19,477,0,indiana
21,1375-1121indiana,62,32.26,180771001319,0.0,0.0,1.0,0.0,0,1375indiana,92.24,1.02,4.29,42.45,490,1,indiana
17,1405-1125indiana,185,29.19,181245002006,0.0,0.0,1.0,0.0,0,1405indiana,76.78,3.09,15.84,53.29,745,0,indiana
18,1405-1125indiana,179,31.84,181245002006,0.0,0.0,1.0,0.0,0,1405indiana,75.62,3.65,16.56,60.63,767,0,indiana
19,1405-1125indiana,188,30.32,181245002006,0.0,0.0,1.0,0.0,0,1405indiana,72.84,3.46,19.04,61.52,751,0,indiana
21,1405-1125indiana,153,26.14,181245002006,0.0,0.0,1.0,0.0,0,1405indiana,70.05,3.71,22.39,58.24,728,1,indiana
17,1560-7213indiana,299,54.52,181119001802,0.0,0.0,1.0,0.0,0,1560indiana,97.02,0.0,0.92,18.7,1310,0,indiana
18,1560-7213indiana,311,50.8,181119001802,0.0,0.0,1.0,0.0,0,1560indiana,96.85,0.24,0.63,19.16,1268,0,indiana
19,1560-7213indiana,305,48.85,181119001802,0.0,0.0,1.0,0.0,0,1560indiana,95.21,0.32,1.62,19.74,1231,0,indiana
21,1560-7213indiana,273,43.96,181119001802,0.0,0.03,0.97,0.03,0,1560indiana,95.02,0.39,1.24,19.67,1286,1,indiana
17,1600-1179indiana,226,23.45,180024000056,0.0,0.0,1.0,0.0,0,1600indiana,95.81,0.0,1.58,40.05,884,0,indiana
18,1600-1179indiana,194,25.26,180024000056,0.0,0.0,1.0,0.0,0,1600indiana,95.69,0.0,1.79,40.31,836,0,indiana
19,1600-1179indiana,205,23.9,180024000056,0.0,0.0,1.0,0.0,0,1600indiana,95.56,0.24,1.68,42.93,834,0,indiana
21,1600-1179indiana,171,20.47,180024000056,0.0,0.0,1.0,0.0,0,1600indiana,95.71,0.14,1.38,36.51,723,1,indiana
17,1620-1177indiana,148,36.49,180570001037,0.0,0.0,1.0,0.0,0,1620indiana,91.77,0.97,2.1,28.55,620,0,indiana
18,1620-1177indiana,164,45.73,180570001037,0.0,0.0,1.0,0.0,0,1620indiana,92.64,0.94,2.19,31.61,639,0,indiana
19,1620-1177indiana,156,46.15,180570001037,0.0,0.0,1.0,0.0,0,1620indiana,90.31,1.32,2.64,33.48,681,0,indiana
21,1620-1177indiana,170,36.47,180570001037,0.0,0.03,0.97,0.03,0,1620indiana,89.91,0.85,2.56,34.23,704,1,indiana
17,1655-1263indiana,81,28.4,180261000311,0.0,0.0,1.0,0.0,0,1655indiana,95.61,0.21,2.09,41.21,478,0,indiana
18,1655-1263indiana,82,25.61,180261000311,0.0,0.0,1.0,0.0,0,1655indiana,96.53,0.22,2.17,47.72,461,0,indiana
19,1655-1263indiana,83,37.35,180261000311,0.0,0.0,1.0,0.0,0,1655indiana,95.9,0.22,2.59,50.11,463,0,indiana
21,1655-1263indiana,75,29.33,180261000311,0.0,0.16,0.84,0.16,0,1655indiana,95.41,0.23,2.98,47.94,436,1,indiana
17,1655-1267indiana,82,28.05,180261000309,0.0,0.0,1.0,0.0,0,1655indiana,97.22,0.0,0.8,35.79,503,0,indiana
18,1655-1267indiana,90,40.0,180261000309,0.0,0.0,1.0,0.0,0,1655indiana,96.2,0.19,1.71,37.45,526,0,indiana
19,1655-1267indiana,94,30.85,180261000309,0.0,0.0,1.0,0.0,0,1655indiana,96.46,0.0,1.18,39.69,509,0,indiana
21,1655-1267indiana,69,27.54,180261000309,0.0,0.11,0.89,0.11,0,1655indiana,95.92,0.2,1.63,40.61,490,1,indiana
17,1730-1268indiana,169,30.77,180408000704,0.0,0.0,1.0,0.0,0,1730indiana,92.93,0.13,2.93,39.47,750,0,indiana
18,1730-1268indiana,168,35.71,180408000704,0.0,0.0,1.0,0.0,0,1730indiana,91.48,0.14,3.85,41.76,728,0,indiana
19,1730-1268indiana,157,28.03,180408000704,0.0,0.0,1.0,0.0,0,1730indiana,91.42,0.14,4.09,42.23,734,0,indiana
21,1730-1268indiana,167,24.55,180408000704,0.0,0.11,0.89,0.11,0,1730indiana,92.39,0.29,2.87,38.51,696,1,indiana
17,1805-1317indiana,92,46.74,180306000405,0.0,0.0,1.0,0.0,0,1805indiana,92.02,1.36,4.75,37.01,589,0,indiana
18,1805-1317indiana,101,38.61,180306000405,0.0,0.0,1.0,0.0,0,1805indiana,91.76,2.06,3.8,38.35,631,0,indiana
19,1805-1317indiana,101,44.55,180306000405,0.0,0.0,1.0,0.0,0,1805indiana,92.39,1.9,3.8,40.73,631,0,indiana
21,1805-1317indiana,91,42.86,180306000405,0.0,0.0,1.0,0.0,0,1805indiana,94.52,1.77,2.58,31.13,620,1,indiana
17,1820-1325indiana,143,20.28,180384000605,0.0,0.0,1.0,0.0,0,1820indiana,92.2,0.17,2.71,40.51,590,0,indiana
18,1820-1325indiana,157,24.84,180384000605,0.0,0.0,1.0,0.0,0,1820indiana,92.89,0.17,2.71,45.01,591,0,indiana
