year,mergecode,districtcode,black,hispanic,white,lowincome,droprate,totalenroll,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
21,628-0176georgia,628georgia,10.0,21.0,62.0,23.0,2.0,2650,0,130111000000.0,0.1,0.0,0.9,0.05,georgia,1
17,628-0191georgia,628georgia,7.0,11.0,76.0,21.0,2.4,2000,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
18,628-0191georgia,628georgia,7.0,13.0,74.0,21.0,2.7,2037,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
19,628-0191georgia,628georgia,7.0,14.0,74.0,20.0,1.7,2118,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
21,628-0191georgia,628georgia,8.0,15.0,73.0,17.0,1.3,2231,0,130111000000.0,0.1,0.0,0.9,0.05,georgia,1
17,628-0197georgia,628georgia,11.0,16.0,66.0,26.0,2.2,2455,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
18,628-0197georgia,628georgia,12.0,17.0,64.0,25.0,2.3,2478,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
19,628-0197georgia,628georgia,12.0,17.0,64.0,25.0,2.6,2462,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
21,628-0197georgia,628georgia,12.0,18.0,61.0,21.0,0.9,2333,0,130111000000.0,0.1,0.0,0.9,0.05,georgia,1
17,628-5050georgia,628georgia,9.0,21.0,66.0,36.0,4.3,2884,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
18,628-5050georgia,628georgia,8.0,22.0,66.0,35.0,3.5,2943,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
19,628-5050georgia,628georgia,7.0,26.0,63.0,35.0,2.5,2960,0,130111000000.0,0.0,0.0,1.0,0.0,georgia,0
21,628-5050georgia,628georgia,7.0,30.0,59.0,34.0,2.1,3095,0,130111000000.0,0.1,0.0,0.9,0.05,georgia,1
17,629-0102georgia,629georgia,56.0,25.0,14.0,92.0,2.6,1615,0,130117000000.0,0.0,0.0,1.0,0.0,georgia,0
18,629-0102georgia,629georgia,56.0,26.0,13.0,92.0,2.8,1536,0,130117000000.0,0.0,0.0,1.0,0.0,georgia,0
19,629-0102georgia,629georgia,55.0,28.0,13.0,92.0,3.1,1516,0,130117000000.0,0.0,0.0,1.0,0.0,georgia,0
21,629-0102georgia,629georgia,52.0,29.0,14.0,82.0,1.3,1462,0,130117000000.0,0.1,0.5,0.4,0.55,georgia,1
17,629-5556georgia,629georgia,49.0,24.0,21.0,92.0,2.9,1655,0,130117000000.0,0.0,0.0,1.0,0.0,georgia,0
18,629-5556georgia,629georgia,46.0,24.0,23.0,92.0,2.4,1792,0,130117000000.0,0.0,0.0,1.0,0.0,georgia,0
19,629-5556georgia,629georgia,46.0,24.0,24.0,92.0,2.3,1913,0,130117000000.0,0.0,0.0,1.0,0.0,georgia,0
21,629-5556georgia,629georgia,42.0,24.0,27.0,64.0,2.8,1857,0,130117000000.0,0.1,0.5,0.4,0.55,georgia,1
17,631-0104georgia,631georgia,83.0,12.0,1.0,99.0,7.0,2014,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
18,631-0104georgia,631georgia,82.0,13.0,1.0,99.0,3.0,1933,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
19,631-0104georgia,631georgia,82.0,13.0,1.0,93.0,2.9,1897,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
21,631-0104georgia,631georgia,81.0,14.0,1.0,93.0,2.1,1810,0,130123000000.0,0.0,1.0,0.0,1.0,georgia,1
17,631-0115georgia,631georgia,75.0,20.0,1.0,100.0,8.5,1929,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
18,631-0115georgia,631georgia,67.0,26.0,1.0,99.0,5.2,1885,0,130123000000.0,0.0,0.0,1.0,0.0,georgia,0
