year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
18,4445-5928arizona,4445arizona,3.3,31.22,58.05,727,49.0,0.43,40399000320,0.0,0.0,1.0,0.0,0,arizona,0
19,4445-5928arizona,4445arizona,3.27,31.44,57.89,703,44.0,0.0,40399000320,0.0,0.0,1.0,0.0,0,arizona,0
21,4445-5928arizona,4445arizona,3.71,37.69,51.19,674,47.0,3.11,40399000320,0.9,0.1,0.0,0.55,0,arizona,1
17,4342-92246arizona,4342arizona,8.76,79.68,8.37,251,84.0,8.04,40014903386,0.0,0.0,1.0,0.0,1,arizona,0
18,4342-92246arizona,4342arizona,7.3,78.73,9.84,315,92.0,3.61,40014903386,0.0,0.0,1.0,0.0,1,arizona,0
19,4342-92246arizona,4342arizona,9.07,79.04,8.5,353,90.0,1.55,40014903386,0.0,0.0,1.0,0.0,1,arizona,0
21,4342-92246arizona,4342arizona,7.92,80.62,4.79,480,90.0,2.59,40014903386,0.4,0.6,0.0,0.8,1,arizona,1
17,4342-78899arizona,4342arizona,17.61,59.75,16.35,159,62.0,22.9,40014901897,0.0,0.0,1.0,0.0,1,arizona,0
18,4342-78899arizona,4342arizona,16.67,61.11,13.49,126,57.0,22.98,40014901897,0.0,0.0,1.0,0.0,1,arizona,0
19,4342-78899arizona,4342arizona,16.76,59.46,14.59,185,60.0,23.2,40014901897,0.0,0.0,1.0,0.0,1,arizona,0
21,4342-78899arizona,4342arizona,17.54,50.0,19.3,114,42.0,27.38,40014901897,0.3,0.7,0.0,0.85,1,arizona,1
17,79882-10748arizona,79882arizona,15.23,62.16,15.23,407,86.0,20.87,40038901737,0.0,0.0,1.0,0.0,1,arizona,0
18,79882-10748arizona,79882arizona,15.62,62.47,15.38,429,86.0,24.15,40038901737,0.0,0.0,1.0,0.0,1,arizona,0
19,79882-10748arizona,79882arizona,16.59,62.32,13.98,422,95.0,20.87,40038901737,0.0,0.0,1.0,0.0,1,arizona,0
21,79882-10748arizona,79882arizona,15.32,65.47,9.61,333,95.0,30.54,40038901737,0.5,0.5,0.0,0.75,1,arizona,1
17,90548-91158arizona,90548arizona,0.0,49.1,40.12,334,39.0,6.83,40082303296,0.0,0.0,1.0,0.0,1,arizona,0
18,90548-91158arizona,90548arizona,3.7,52.86,35.02,297,56.0,2.45,40082303296,0.0,0.0,1.0,0.0,1,arizona,0
19,90548-91158arizona,90548arizona,3.51,50.58,36.26,342,58.0,1.86,40082303296,0.0,0.0,1.0,0.0,1,arizona,0
21,90548-91158arizona,90548arizona,0.0,44.68,42.55,423,79.0,4.08,40082303296,0.6,0.4,0.0,0.7,1,arizona,1
17,79880-6350arizona,79880arizona,11.88,66.25,21.25,160,52.0,19.46,40038801736,0.0,0.0,1.0,0.0,1,arizona,0
18,79880-6350arizona,79880arizona,12.96,61.11,23.46,162,72.0,26.43,40038801736,0.0,0.0,1.0,0.0,1,arizona,0
19,79880-6350arizona,79880arizona,11.41,54.35,28.26,184,41.0,15.25,40038801736,0.0,0.0,1.0,0.0,1,arizona,0
21,79880-6350arizona,79880arizona,0.0,50.66,31.58,152,60.0,23.67,40038801736,0.3,0.7,0.0,0.85,1,arizona,1
17,78965-79178arizona,78965arizona,41.01,50.36,0.0,139,87.0,5.45,40022702017,0.0,0.0,1.0,0.0,1,arizona,0
18,78965-79178arizona,78965arizona,41.88,47.5,0.0,160,98.0,2.89,40022702017,0.0,0.0,1.0,0.0,1,arizona,0
