year,mergecode,districtcode,droprate,black,white,hispanic,totalenroll,lowincome,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
17,0180-7250colorado,0180colorado,2.1,23.39,25.7,38.86,2728,44.9,0,80234001389,0.0,0.0,1.0,0.0,colorado,0
18,0180-7250colorado,0180colorado,2.3,22.06,24.69,40.85,2661,47.6,0,80234001389,0.0,0.0,1.0,0.0,colorado,0
19,0180-7250colorado,0180colorado,1.58,21.64,24.03,41.77,2593,42.7,0,80234001389,0.0,0.0,1.0,0.0,colorado,0
21,0180-7250colorado,0180colorado,1.6,19.3,22.48,44.63,2420,54.1,0,80234001389,0.4,0.6,0.0,0.8,colorado,1
17,0180-8356colorado,0180colorado,1.2,12.39,21.33,58.5,347,57.7,0,80234000084,0.0,0.0,1.0,0.0,colorado,0
18,0180-8356colorado,0180colorado,0.5,11.35,18.65,63.24,370,59.9,0,80234000084,0.0,0.0,1.0,0.0,colorado,0
19,0180-8356colorado,0180colorado,0.26,11.78,16.75,65.18,382,56.8,0,80234000084,0.0,0.0,1.0,0.0,colorado,0
21,0180-8356colorado,0180colorado,0.5,10.0,12.75,69.25,400,71.2,0,80234000084,0.4,0.6,0.0,0.8,colorado,1
17,0180-9125colorado,0180colorado,1.2,17.16,25.35,45.13,1562,40.8,0,80234006451,0.0,0.0,1.0,0.0,colorado,0
18,0180-9125colorado,0180colorado,1.8,16.62,23.66,46.74,1703,48.1,0,80234006451,0.0,0.0,1.0,0.0,colorado,0
