,mathpass_in_virtualper_inf
1986,-0.0013477798752121208
1987,0.0035707584856873235
1988,0.0009592625708084028
1989,-0.0001951589967276831
1990,-3.6085965857585735e-05
1991,9.193003520389296e-05
1992,-0.00029097937614151135
1993,0.0004446072569548083
1994,-0.00012820396024267616
1995,-0.0003398616767875708
1996,0.00014302890682886345
1997,0.0006036275282863159
1998,-0.00017729290480738872
1999,0.0023474305578674716
2000,-0.0006968522996261081
2001,-4.363477553183181e-05
2002,0.0004307738158601567
2003,-0.0024436029169751373
2004,-0.0019547391417069127
2005,0.0026052929463288204
2006,-0.0015392329628401325
2007,-0.002959799391147177
2008,-5.377673036132539e-05
2009,3.565107685053956e-05
2010,2.1299940850649465e-05
2011,9.34396232593868e-05
2012,-0.0014937300256732057
2013,-0.0016595319033359426
2014,-0.0007368415188513
2015,-0.010280516130603936
2016,-0.0005621492997295447
2017,0.00013822355200382357
2018,3.2299048899330625e-07
2019,-0.0005269416840246675
2020,-0.0014823550650886698
2021,-0.0002345521624310822
2022,0.0019659337743762268
2023,-0.0008169391800861152
2024,-0.001747068633915474
2025,0.0003431329357574207
2026,-0.000986967803374495
2027,-8.284407070836621e-05
2028,-0.0003287357965331597
2029,0.001080121947217948
2030,-0.0008656921335363094
2031,-0.0009962854204192163
2032,-0.0045155003286004095
2033,-0.00027564038137264935
2034,0.012020332498215694
2035,0.01579449504407934
2036,0.012868346526323175
2037,0.002794337467372772
2038,-0.009989439671046912
2039,0.010710099012823554
2040,0.0013200713500197726
2041,-0.003747839915630386
2042,0.008541585177898322
2043,0.023638557184475006
2044,-0.0036584519169730687
2045,-0.0007498279438543123
2046,0.010171865618788434
2047,0.021134774887240627
2048,-0.00023265884585375348
2049,0.001976070105800596
2050,-0.0006515130876496013
2051,0.0036145711059932376
2052,0.000585518481846504
2053,0.006462259799235408
2054,0.0024052533395791417
2055,0.02746534479925815
2056,-0.0025723125586318415
2057,0.004372810986729731
2058,0.00045405659363556496
2059,0.012526029329412942
2060,4.153507047412281e-05
2061,4.844316205366744e-06
2062,2.3670914490089167e-06
2063,0.00014677133589067917
2064,0.00016158910071659214
2065,-0.00020734451788436382
2066,0.0011413628659121995
2067,4.3133500881206434e-05
2068,0.0007250678561045171
2069,-1.878906214273304e-05
2070,0.00016946731704370075
2071,0.0004135699975929694
2072,0.0018284895917162587
2073,-0.0011793609087934213
2074,-0.00011758652988034717
2075,0.00019511271250441706
2076,-0.0014609053768344271
2077,-5.603233050325881e-05
2078,4.0530104862306365e-05
2079,-0.004820194641632742
2080,0.0003611618146274493
2081,-0.0017430989221698208
2082,-0.00016837341327614026
2083,-0.00397086500639878
2084,-0.0009138040051692991
2085,-0.00023500412453400838
2086,0.00047176144807420964
2087,-0.002665813953192694
2088,-0.001500719977744681
2089,-0.00016988827055797843
2090,6.682342863958393e-05
2091,2.9622781174764888e-05
2092,-0.000366733565442508
2093,-6.563156730893641e-05
2094,-6.706425246965702e-05
2095,-0.0016255350944228985
2096,0.0006133983561997348
2097,-0.0013054557739263536
2098,-0.00015785911764199821
2099,-0.002515118491832181
2100,-0.00017923898906001452
2101,0.00042453365548844336
2102,-6.055073558000547e-05
2103,0.0007828357595844221
2104,-0.000273389119074028
2105,-0.000980062724279509
2106,0.00066083108505862
2107,-0.0019552147298346266
2108,-0.00010231808495146035
2109,-0.00041256586072636105
2110,3.148285071061666e-05
2111,-0.001916679689282311
2112,9.540049024030648e-05
2113,-3.322151471335537e-05
2114,2.7921051572968893e-05
2115,0.0002196436420230804
2116,-2.3792950264471158e-05
2117,-0.00018245398391471284
2118,7.523207752550193e-05
2119,-0.0012749136729516576
2120,-0.0002533542543590958
2121,-0.00019569012587745255
2122,-4.496341270750088e-05
2123,-0.005034315467776908
2124,-3.1523639635611305e-05
2125,-0.00016932801083840805
2126,7.421198317513665e-05
2127,-0.0005282209140449748
2128,-7.0867839097586896e-06
2129,0.00022321954799631784
2130,7.365353608993332e-05
2131,4.677619749919322e-05
2132,9.142564111197647e-05
2133,0.00021561217627721828
2134,-0.0001837931488654362
2135,-0.0005061618971017967
2136,-0.00038376103617230207
2137,0.0007721845738994825
2138,-9.547065588973631e-05
2139,-9.349153918207558e-05
2140,3.717386013684467e-05
2141,5.84403713176979e-05
2142,5.322487424020955e-06
2143,0.0002798656301662935
2144,-0.0003123056681601182
2145,-0.0005584945401070974
2146,-0.0003716300649220809
2147,-0.004381618476494577
2148,0.00039528302887611587
2149,0.000179812465160865
2150,1.052882285608785e-05
2151,0.00042646772695455827
2152,-0.0003046420192615367
2153,-0.0005507019176248079
2154,-2.483108543600852e-05
2155,-0.0029137028045537524
2156,-0.0028365272190344227
2157,-0.0023620686985504334
2158,0.003434289408837442
2159,-0.0100729771008026
2160,-9.42419389377591e-05
2161,0.00026425177786270254
2162,0.0017790791686691154
2163,0.004087141699233641
2164,0.0013062352904722346
2165,0.0015101749846798092
2166,-0.000486192903138856
2167,0.007256137677338084
2168,-0.0002769363709076243
2169,-0.000295589147011169
2170,-0.0001602574439073748
2171,-0.0029497181667373124
2172,0.0004850862425134707
2173,-0.00016416056123754572
2174,-4.636072464158524e-06
2175,-0.00038648636946923294
2176,-0.0005526269816988539
2177,5.1735832494076196e-05
2178,-0.000173669644625541
2179,-0.00012526978876490897
2180,0.0009260556812769536
2181,-0.0013991889599112653
2182,6.38363860315303e-05
2183,-0.001983952223788017
2184,0.00011684850053438715
2185,-1.0982648945493187e-05
2186,0.00012115469432152014
2187,-0.0003419406434351672
2188,0.0005987541576297316
2189,0.00028273877846269176
2190,6.356766683003516e-05
2191,-4.5383009211600174e-05
2192,-0.00031128535436071575
2193,-0.0003730346416240373
2194,0.00033555215732914524
2195,-0.0017483586554930012
2196,-0.0013235811822220995
2197,0.0004389016620101115
2198,-0.0003086834854533465
2199,-0.0038616455128011908
2200,-4.515857638607735e-05
2201,-5.005805403523506e-05
2202,9.076956754057386e-06
2203,0.0005757721210753297
2204,-0.00011695406754077818
2205,0.00035952224874628364
2206,-0.00018768947647095796
2207,-1.9162824802786736e-05
2208,0.0008961675547080322
2209,-0.0022737880926405937
2210,0.0009562746728720285
2211,0.0003166347792015334
2212,0.0006331565287507482
2213,5.717580041194185e-05
2214,4.388316252804131e-05
2215,0.0003586439483461081
2216,9.090225102902395e-06
2217,-0.00011631789291789613
2218,-2.1139876895076714e-06
2219,-0.0003811222857505133
2220,0.0001496907980137265
2221,-0.0017207324904780043
2222,-0.005913569913768217
2223,0.0011793080182550106
2224,0.0005050581677164923
2225,-0.0003214774964685947
2226,0.001534265075102175
2227,0.006538311936734479
2228,-9.516275600833546e-05
2229,8.564011424994373e-05
2230,-2.8384677951684543e-06
2231,-0.0006228288673915621
2232,-1.3075009797917847e-05
2233,-8.822734936692297e-05
2234,2.4295956473370738e-05
2235,9.236913163508671e-05
2236,-1.8875444476424343e-05
2237,-3.965616155361732e-05
2238,-1.1033281254996302e-05
2239,-6.5839161858861256e-06
2240,7.159480917751806e-05
2241,-5.13941316878355e-05
2242,-8.459936465053979e-05
2243,-0.0002901116998315334
2244,-0.001111930582260994
2245,-0.0011686674506417615
2246,0.0003177863920479733
2247,-0.009782626157602744
2248,-0.0006791911460091096
2249,0.0004812931722992595
2250,2.1729242376493565e-05
2251,-0.0011547965657681832
2252,-0.0003917490856700536
2253,-0.00018567380919368143
2254,0.00011370466441172007
2255,-0.001375539795971098
2256,-0.0005653526883588396
2257,-0.0005948244177787352
2258,0.00017815624637161238
2259,-0.0034955934302279726
2260,-9.425632358009586e-05
2261,9.191768783513223e-06
2262,-3.4885220918120564e-05
2263,-0.000868667299938642
2264,-9.41219403726559e-05
2265,-0.00012040437784625787
2266,0.00021500600017617825
2267,3.8471334284994425e-05
2268,-0.0014252729338052853
2269,-0.0011564767188292054
2270,0.002504281393104514
2271,-0.0005742240593323855
2272,0.0001578518974579423
2273,8.967273443663548e-05
2274,-0.0005398106990234296
2275,-0.0004544230561553117
2276,0.0015213695805113897
2277,-0.002309469690951728
2278,-0.0006903463220954763
2279,-0.006291801441537535
2280,0.009155889074208277
2281,-0.001092649271853677
2282,0.0002649575423440988
2283,0.009299296356210218
2284,-9.913453740715521e-05
2285,-0.00011672966279362798
2286,3.7172104136065144e-05
2287,-0.0008785696480505825
2288,-0.00045383613145924724
2289,0.002653715471384968
2290,0.002063657448512161
2291,0.013059575408987695
2292,-6.806512309511664e-05
2293,-0.00029105755675956944
2294,-0.0009449045872150303
2295,-0.005227403667142578
2296,0.00038398748512143594
2297,-0.00016157184403641723
2298,5.466718254860637e-06
2299,0.00016055916738260466
2300,-0.00011377330302389825
2301,-0.0001158377751143239
2302,0.00026808083835611757
2303,-6.881770444930019e-07
2304,-0.0014697556070810524
2305,0.001346434781036564
