,elapass_hispanic_hybridper_inf
2564,0.00011741621904074149
2565,0.0001301378688547682
2566,-1.1968005463185513e-05
2567,0.0007449521383271052
2568,0.000850753635902225
2569,-0.0006151755159513743
2570,-0.001502853692387018
2571,-0.0010185392049262703
2572,0.0002643132300119188
2573,-0.0008353521709909572
2574,0.0005048084532903704
2575,0.001566934779198963
2576,0.0007515797657219688
2577,0.001004768810179809
2578,0.0027271920277544526
2579,0.0023407179048328276
2580,-0.0010062843344510071
2581,0.001057532388368074
2582,0.00026824006844439056
2583,0.00014755283722643424
2584,3.279533326813501e-06
2585,-0.0026644257719500007
2586,0.0005494833045285152
2587,-0.003397906408054736
2588,0.0004722328218312715
2589,0.00010364709566632697
2590,0.00047842602334737157
2591,0.00014592477402664694
2592,-8.294278644502272e-05
2593,0.0002418570558980636
2594,0.0011510572530600007
2595,0.006706962683804739
2596,-0.00010818097440866169
2597,-0.00040381310126722756
2598,0.00043765925991344804
2599,0.0020555875440770766
2600,8.945478125069954e-05
2601,-0.001223236303274501
2602,0.0008447243642003134
2603,-0.0002347703644340077
2604,-0.0017567484214057456
2605,0.001439296356412745
2606,0.003383617284887137
2607,0.006084046738003265
2608,-0.0002201772891370458
2609,-0.00036867976640173397
2610,0.002254302671360586
2611,0.0006929503500301138
2612,-0.0014068486420752192
2613,0.0012444016346416173
2614,0.0006666555585614336
2615,-0.0027568806833669127
2616,-0.00035677007315334955
2617,-0.0015042320469355742
2618,0.0044417775261507576
2619,0.005108804531333441
2620,0.0001316851214850975
2621,-0.00012496543780064737
2622,-2.5019228259036285e-05
2623,0.0004067052261908809
2624,0.0010586955270588446
2625,-2.5876951152480675e-05
2626,-0.00015263723024511048
2627,0.002230639514269301
2628,-6.211662453817859e-05
2629,0.0010017816445028471
2630,0.00010679093982429
2631,0.0019371653869772393
2632,3.852302596955556e-05
2633,0.000736946155211951
2634,-0.0003440167376787315
2635,0.0012820800065281724
2636,-3.126364036332584e-05
2637,-2.9463197592434072e-05
2638,-0.0005236241198423617
2639,-0.00040047114035334213
2640,-0.0014009533526423196
2641,-2.3844281166191624e-05
2642,0.001744630769226249
2643,0.00279057834053858
2644,-0.0028777158880498384
2645,0.00023968429500385665
2646,-0.0012303187348974161
2647,0.0006886699443856212
2648,-0.0034518309108414733
2649,0.0009955552912312739
2650,0.0006629807614042921
2651,0.004538339518586844
2652,-0.0027836575273252114
2653,-2.2463200588991277e-05
2654,-0.001188843717304764
2655,-0.013782231250771404
2656,0.0002214434600307931
2657,0.0005120298896953662
2658,0.0001907680027910195
2659,-0.0007642409804908622
2660,0.0002423338997458153
2661,-0.0007823839874249431
2662,0.0003072647674413016
2663,-0.0002772872859749426
2664,-0.0016562423657589588
2665,-3.6966300146430925e-06
2666,-6.935890230750575e-05
2667,-0.00199132056849216
2668,-0.0014413201697268967
2669,-0.00022129272518947726
2670,0.00018511283463893224
2671,-0.006108569920243069
2672,8.825425692024777e-05
2673,8.046353225872866e-05
2674,7.566355962315788e-06
2675,-0.0007612428691165764
2676,-0.0010005775027530667
2677,0.0024635390657769913
2678,-0.0026327891109182103
2679,-0.003802739025287053
2680,-0.0006058295257697824
2681,0.0005818853999650345
2682,-0.0008162895443970045
2683,-0.002596912559877009
2684,0.00014800382108783318
2685,4.314272175174764e-05
2686,-0.00011187401373829909
2687,0.00022644144766564693
2688,1.4319814809919009e-05
2689,0.0003478719662718842
2690,-0.00022828713017492166
2691,-0.0005367987972251844
2692,-0.0006937079061322108
