,drop_ed_hybridper_inf
431,0.0009728734629217389
432,0.0009054109154263566
433,0.007850969591458255
434,-0.007160270833328281
435,0.004581515002573924
436,0.002392744517649098
437,0.0007863393013872876
438,-0.0006163267595325557
439,0.006785379184981686
440,0.0006031251711166767
441,-0.00040707971499242467
442,0.00016843831391513206
443,0.0009589120923645419
444,0.0002270449935614086
445,-0.00014041612889668012
446,0.0009972885361349414
447,0.0026775029351726962
448,0.001300877522391576
449,-0.0004406066981662841
450,0.0025855703248485015
451,0.01213295180994584
452,0.00030497274755998774
453,0.002037942910461002
454,0.0014140991876228715
455,0.010571578406774198
456,-7.945514665606574e-05
457,-0.00022315827996883516
458,-0.0001946957880967062
459,-0.00024767157389006495
460,-0.0005338897339726028
461,0.0009121909492771091
462,-0.0005493844318739697
463,0.0006009764742311993
464,0.0003544403221636458
465,-5.5265688274822065e-05
466,0.0014842856406279972
467,0.005745491335235541
468,-0.0013987164919436262
469,-0.00047198525374549045
470,0.0009026243582965295
471,-0.0031971499307975057
472,4.661714614637076e-06
473,3.4777958303343547e-06
474,6.392772346774742e-05
475,0.00020215739785276734
476,0.002498285465647513
477,-0.001089096431009228
478,0.0037072214636867805
479,0.017003777278515094
480,-0.00882097920099123
481,0.001016771345614235
482,0.004414700778455316
483,-0.009177295546674407
484,-0.00010373886168645478
485,-0.00047444850225589647
486,0.0007972130261120387
487,7.424061105467815e-05
488,-0.00024278268088243472
489,0.0005626642583954754
490,-0.00011436751420354781
491,0.00010261439813359986
492,3.6851655598605562e-06
493,2.221971422311148e-05
494,-0.00019575480248023704
495,-0.0001481646372215672
496,7.455252484151644e-05
497,8.807001435056805e-05
498,0.0001506691628389395
499,2.1749985084380652e-05
500,-0.003024098826519503
501,0.0008265598906740457
502,5.3860267411805884e-05
503,-0.007377638981685921
504,-0.0040578450708381765
505,-0.000727138088501012
506,0.012137126792252907
507,0.01947487783515771
508,0.005195078903956092
509,-0.01411198637972548
510,0.006938963779706338
511,-0.006355303700774168
512,-0.0021884758265704116
513,0.004891048198579414
514,0.003933847171794671
515,0.018272160920300207
516,0.00039529315048390486
517,-0.005590712382056632
518,0.00426951169203748
519,-0.0033488627916537254
520,0.0013559585178173023
521,-0.0003700666543160759
522,-0.003263366675474741
523,-0.006275857334704142
524,-0.00017320633887092483
525,5.014612954688723e-05
526,-0.0001628384042406604
527,0.00015725005305605754
528,0.00011125114606285611
529,0.00011817328260118046
530,-0.00012900631292137805
531,0.00024172694702808404
532,-0.0006941598676784849
533,1.1107042892424346e-05
534,0.0003745841617256759
535,0.00036117228250785553
536,-7.124171093507228e-05
537,0.0012349662329924026
538,-0.0008238061233353366
539,0.0006575888788739067
540,-0.00044587628856942335
541,-0.00040465388600607443
542,-0.0006816964139302934
543,-0.004622058071717456
544,0.002152881466893482
545,0.001089092015854057
546,-0.0012292378265786738
547,0.00615910981734299
548,0.0004099394512724892
549,-8.211030821526753e-05
550,0.0011129155627032713
551,0.004398931497861492
552,-0.0010755656636804475
553,-0.003820973543125956
554,0.0011134883232808656
555,-0.0004186812192773628
556,-5.439395232066427e-05
557,-0.002225749008209227
558,0.0007841660583328871
559,-0.003249659919389771
560,6.262050478737986e-05
561,9.779015101497308e-05
562,3.896622750259871e-05
563,9.128389193546812e-05
564,0.0032621367383527493
565,-0.0036638355091092277
566,0.0007030700096222202
567,0.0004302334700624917
568,0.00017849772431791064
569,-6.584541699770403e-06
570,6.954082212018309e-05
571,9.28285725786266e-05
572,-0.0011288569037720346
573,0.00019690800399097346
574,0.0014215591803212304
575,0.0020580972948786008
576,-0.0011910488637609307
577,-0.0017104773565691787
578,0.003923684481967668
579,0.002302659282947241
580,-8.647435463782975e-05
581,-5.722690064000661e-06
582,0.00011528501161670887
583,0.0001727359714469653
584,0.0010293666503135002
585,-0.0007993998775888387
586,0.0007108827559432469
587,0.002736264503934621
588,-0.000266867899019242
589,-0.0003898649861535553
590,0.0004927134422151457
591,-0.0008323836169889367
592,0.000728422284367146
593,-0.0002832226532317654
594,-0.00035798672260191914
595,0.0002606613569178661
596,0.0003425166204980453
597,-0.00011570158622063393
598,0.0004972572931849931
599,0.002092944219491015
600,-0.0035653018518814724
601,0.002515555225125992
602,0.00342400643812406
603,0.009574835122545236
604,0.0003729850938245491
605,-0.0035067653159589224
606,0.0007129472256165301
607,-0.008111645817375389
608,-0.003013013716355742
609,-0.0005153806529885481
610,0.0026056516062254237
611,-0.0026518111176567927
612,0.0004060401868908521
613,-0.002763583247776928
614,0.0016112198038215238
615,-0.00295639231595204
616,-0.00016064214984739313
617,-0.00010406383605827031
618,-0.0001175229050601694
