,drop_hispanic_virtualper_inf
523,0.0006215085486183705
524,0.00012439596868990514
525,-8.132708709602389e-05
526,0.0004339171727526821
527,-0.00043044641206263756
528,-0.0009997552343371666
529,-0.0010982641563612628
530,0.0017012550470152474
531,-0.0025139754019988603
532,0.0013930164429818816
533,-1.8332936357175027e-05
534,-0.00020714427960068552
535,-0.0005716836762668783
536,3.808110549139904e-05
537,-0.0006583072570644247
538,0.0006734686764796832
539,-0.00040701259127845523
540,0.0007891626846383971
541,0.0007041813735119015
542,0.0009491102978770433
543,0.007574715193551595
544,0.000893444911076782
545,0.0004149806756152012
546,-0.00027628363037640613
547,0.0020799476767594163
548,-0.0003823225396875154
549,9.964159395945916e-05
550,-0.0015298181462886657
551,-0.005172172660552077
552,1.650392369067601e-05
553,0.004821257636408099
554,-0.0021348517544367363
555,0.0023548681229649585
556,5.5377402770200196e-05
557,0.0019262438674712424
558,-0.0008764247035616693
559,0.0032213736031382954
560,-0.00017526337253167927
561,-1.5604700852103127e-05
562,-7.189369506013935e-05
563,2.2272351185240593e-05
564,-0.0009470146405328233
565,0.0009234043288838901
566,-0.00012049857155682883
567,-0.00010277916382067834
568,-0.00365693519171418
569,-4.4959514791840315e-05
570,0.0018010908018084657
571,0.00293719194788678
572,-0.00014417758126604726
573,2.7960093102375622e-05
574,0.0002865096008403017
575,0.00032137102480761574
576,0.0008058285185440048
577,0.0010750267230605851
578,-0.0022444996407803516
579,-0.0014371034442835046
580,5.540468181852823e-05
581,-9.21946786246682e-06
582,-2.078392924965205e-05
583,-0.00010484245310188167
584,-0.0006927143037235142
585,0.0005294553648010508
586,-0.00040698042474938804
587,-0.0017482190240706887
588,-0.00022025632310139167
589,-0.00024005469635453107
590,0.0004877071709967454
591,-0.0006790758334784704
592,-0.000257329241806386
593,9.771701318832474e-05
594,0.00011979620448778428
595,-8.971449129802062e-05
596,4.298761794743042e-05
597,-7.360211698305385e-05
598,0.00033527798955118213
599,0.0008991909119111933
600,0.0009176593589742928
601,-0.0006198626453567805
602,-0.00022950187803208992
603,-0.001887787285505574
604,-4.797821132164452e-05
605,0.0001371391293453962
606,-7.915401445564689e-05
607,0.0007496154430643541
608,2.8322227139567647e-05
609,-0.00012298446827307684
610,0.0007515546056324993
611,-0.000447684427723116
612,-0.0002608649966013406
613,0.0016389043151295234
614,-0.0007299170292356265
615,0.0016669785444279044
616,0.0005810753079784148
617,0.00028881386785186867
618,-0.0001445902486431017
619,0.000741519832504964
620,-0.004693368904503749
621,-0.00276413629706123
622,0.007298738087380845
623,-0.0005059539330437196
624,0.0025466100811242275
625,0.0001910731587263137
626,0.00023218194034467236
627,-0.0015971848526944589
628,-0.00035423113129709385
629,0.0002933067170643524
630,-0.00021602575653436017
631,-0.00025918349838054437
632,0.0004940192408226687
