year,mergecode,lowincome
17,1020-6953,13.4
17,1020-9051,22.9
17,1020-9057,16.0
17,1030-5460,32.2
17,1030-5464,20.8
17,1030-5468,18.7
17,1030-9010,32.6
17,1040-17,14.8
17,1040-19,11.8
17,1040-74,7.3
17,1040-76,13.0
17,1040-209,29.0
17,1040-249,13.4
17,1040-1615,4.7
17,1040-1627,6.5
17,1040-1629,4.8
17,1040-1630,4.8
17,1040-1901,16.1
17,1040-1921,10.5
17,1040-1929,7.0
17,1040-2195,7.8
17,1040-2248,36.7
17,1040-2358,18.1
17,1040-2524,15.8
17,1040-2800,16.3
17,1040-3104,19.1
17,1040-3238,33.5
17,1040-3985,40.5
17,1040-5126,12.2
17,1040-6140,21.4
17,1040-6158,8.0
17,1040-6937,6.8
17,1040-6960,43.1
17,1040-7159,27.6
17,1040-7240,16.6
17,1040-7247,9.6
17,1040-7460,21.3
17,1040-8779,5.1
17,1040-8813,12.0
17,1040-8851,20.1
17,1040-9714,11.6
17,1050-2638,67.2
17,1050-2640,68.1
17,1050-2642,67.2
17,1060-6898,27.2
17,1060-6900,25.2
17,1060-6902,19.3
17,1070-3758,67.4
17,1070-6701,82.5
17,1080-3539,10.4
17,1080-4686,5.8
17,1080-5093,5.8
17,1080-5096,10.6
17,1080-5098,9.1
17,1080-5100,7.9
17,1080-6678,7.5
17,1080-6682,27.2
17,1110-555,4.7
17,1110-1618,57.7
17,1110-2877,11.7
17,1110-2902,40.6
17,1110-2906,22.2
17,1110-2908,17.6
17,1110-3475,60.8
17,1110-4102,49.1
17,1110-4251,11.7
17,1110-5779,14.1
17,1110-6483,41.4
17,1110-6810,33.1
17,1110-6935,12.1
17,1110-7317,36.6
17,1110-7339,21.6
17,1110-7463,14.6
17,1110-7613,33.0
17,1110-7960,30.0
17,1110-8010,25.7
17,1110-8266,32.5
17,1110-8791,23.4
17,1110-9706,20.0
17,1120-2514,72.1
17,1120-2526,67.1
17,1130-5850,58.3
17,1130-5854,46.3
17,1140-1262,57.7
17,1140-1266,37.2
17,1140-3802,60.1
17,1140-5166,64.2
17,1140-5704,56.6
17,1140-6752,28.1
17,1140-7950,48.0
17,1140-9248,67.8
17,1150-3002,46.3
17,1150-3224,63.0
17,1150-3226,60.9
17,1150-6858,57.3
17,1160-3220,49.3
17,1160-3228,52.5
17,1180-429,12.7
17,1180-560,41.8
17,1180-561,41.2
17,1180-570,34.0
17,1180-1006,26.0
17,1180-1296,56.4
17,1180-2063,55.8
17,1180-3460,56.2
17,1180-3464,40.3
17,1180-3468,30.5
17,1180-7422,46.0
17,1180-8038,47.7
17,1195-65,38.3
17,1195-2573,60.4
17,1195-3281,55.1
17,1195-3967,65.7
17,1195-4510,44.1
17,1195-7356,58.9
17,1195-7360,42.5
17,1195-7388,50.8
17,1195-7890,42.7
17,1195-9231,73.2
17,1220-3578,61.1
17,1220-3585,59.3
17,1220-3586,48.4
17,1220-8274,54.2
17,1330-1632,28.6
17,1330-1634,25.7
17,1340-9420,43.3
17,1340-9422,52.5
17,1350-2376,31.1
17,1350-3182,25.7
17,1350-3556,48.9
17,1350-5864,24.7
17,1360-1447,8.6
17,1360-2006,8.5
17,1360-3690,41.6
17,1360-3694,27.5
17,1360-3697,38.0
17,1380-4899,38.5
17,1390-63,83.0
17,1390-3306,73.1
17,1390-9212,66.7
17,1400-4860,64.4
17,1400-4864,55.6
17,1410-6358,48.2
17,1420-30,39.8
17,1420-33,51.8
17,1420-34,40.0
17,1420-108,86.4
17,1420-109,84.0
17,1420-148,70.6
17,1420-370,65.8
17,1420-378,27.2
17,1420-491,26.9
17,1420-660,41.9
17,1420-664,40.8
17,1420-694,25.0
17,1420-724,61.8
17,1420-776,7.7
17,1420-951,25.3
17,1420-965,67.3
17,1420-1238,45.2
17,1420-1318,48.7
17,1420-1451,30.6
17,1420-1522,12.7
17,1420-1730,15.7
17,1420-1790,42.7
17,1420-1861,39.6
17,1420-1864,20.5
17,1420-1876,20.2
17,1420-1880,13.5
17,1420-1886,15.1
17,1420-1976,58.5
17,1420-2093,15.9
17,1420-2120,5.0
17,1420-2130,10.1
17,1420-2189,11.3
17,1420-2194,16.4
17,1420-2288,18.6
17,1420-2300,29.3
17,1420-2322,47.9
17,1420-2496,90.8
17,1420-2550,91.3
17,1420-2616,16.8
17,1420-2799,18.5
17,1420-2820,69.7
17,1420-2832,8.5
17,1420-2836,8.8
17,1420-2866,7.1
17,1420-2946,65.5
17,1420-2963,17.3
17,1420-3025,66.9
17,1420-3088,65.9
17,1420-3201,22.1
17,1420-3216,39.0
17,1420-3393,6.1
17,1420-3450,61.1
17,1420-3502,24.1
17,1420-3536,17.3
17,1420-3622,37.8
