Org. Code,Organization Name,School Code,School Name,Grade Level,American Indian or Alaskan Native Female,American Indian or Alaskan Native Male,Asian Female,Asian male,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,Native Hawaiian or Other Pacific Islander Female,Native Hawaiian or Other Pacific Islander Male,Two or More Races Female,Two or More Races Male,PK-12 Total
0010,MAPLETON 1,9036,VALLEY VIEW K-8,040 (4th),0,0,0,0,0,0,23,16,5,5,0,0,0,0,49
0010,MAPLETON 1,9036,VALLEY VIEW K-8,050 (5th),0,0,0,0,0,0,15,20,4,9,0,0,0,2,50
0010,MAPLETON 1,9036,VALLEY VIEW K-8,060 (6th),0,0,0,0,0,0,22,18,1,4,0,0,1,0,46
0010,MAPLETON 1,9036,VALLEY VIEW K-8,070 (7th),0,0,0,0,0,0,20,22,2,11,0,0,0,0,55
0010,MAPLETON 1,9036,VALLEY VIEW K-8,080 (8th),0,0,0,0,0,0,15,28,1,3,0,0,1,0,48
0010,MAPLETON 1,9036,VALLEY VIEW K-8,ALL GRADE LEVELS,0,0,0,0,1,0,146,153,24,44,0,0,4,2,374
0010,MAPLETON 1 TOTAL,,,,25,27,88,78,93,79,2925,2861,1225,1208,8,11,160,146,8934
0020,ADAMS 12 FIVE STAR SCHOOLS,0000,Not a school,110 (11th),0,0,0,0,0,0,3,1,6,1,0,0,1,0,12
0020,ADAMS 12 FIVE STAR SCHOOLS,0000,Not a school,120 (12th),0,0,2,0,1,1,15,4,12,7,1,0,0,0,43
0020,ADAMS 12 FIVE STAR SCHOOLS,0000,Not a school,ALL GRADE LEVELS,0,0,2,0,1,1,18,5,18,8,1,0,1,0,55
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,006 (1/2 Day K),0,0,1,2,0,0,7,14,11,11,0,0,0,0,46
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,007 (Full Day K),0,0,0,1,0,0,1,2,12,6,0,0,1,1,24
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,010 (1st),1,0,2,2,0,0,18,19,17,19,0,0,1,0,79
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,020 (2nd),0,0,2,1,0,1,17,18,16,19,0,0,1,1,76
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,030 (3rd),0,0,1,3,0,0,8,15,15,22,0,0,4,0,68
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,040 (4th),0,1,4,4,0,1,12,21,17,17,0,0,1,3,81
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,050 (5th),0,1,3,0,1,0,15,16,20,17,0,0,3,1,77
0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,ALL GRADE LEVELS,1,2,13,13,1,2,78,105,108,111,0,0,11,6,451
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,060 (6th),0,1,12,10,1,3,32,40,118,120,0,0,10,6,353
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,070 (7th),1,1,17,11,4,5,38,38,137,145,0,0,8,9,414
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,080 (8th),0,1,6,10,3,5,44,37,149,137,0,0,12,3,407
0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,ALL GRADE LEVELS,1,3,35,31,8,13,114,115,404,402,0,0,30,18,1174
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,006 (1/2 Day K),0,0,0,0,0,0,4,7,8,4,0,0,0,2,25
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,007 (Full Day K),0,0,2,5,1,1,2,0,24,33,0,0,3,2,73
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,010 (1st),0,0,1,5,0,0,5,4,40,32,0,0,2,4,93
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,020 (2nd),0,0,5,4,0,0,7,6,33,48,0,0,4,3,110
0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,030 (3rd),0,0,1,1,3,0,5,7,42,39,0,0,2,1,101
