2,ALAMOSA,110,SANGRE DE CRISTO RE-22J,7630,SANGRE DE CRISTO UNDIVIDED HIGH SCHOOL,153,N/A,N/A,65,88,N/A,N/A,0.575,50%-75%
3,ARAPAHOE,120,ENGLEWOOD 1,206,COLORADO'S FINEST HIGH SCHOOL OF CHOICE,293,116,16,161,132,40%,6%,0.451,25%-50%
3,ARAPAHOE,120,ENGLEWOOD 1,1514,CHARLES HAY WORLD SCHOOL,343,144,38,161,182,42%,11%,0.531,50%-75%
3,ARAPAHOE,120,ENGLEWOOD 1,1556,CHERRELYN ELEMENTARY SCHOOL,238,125,30,83,155,53%,13%,0.651,50%-75%
3,ARAPAHOE,120,ENGLEWOOD 1,1652,CLAYTON ELEMENTARY SCHOOL,478,304,62,112,366,64%,13%,0.766,75%-100%
3,ARAPAHOE,120,ENGLEWOOD 1,2746,ENGLEWOOD HIGH SCHOOL,550,318,50,182,368,58%,9%,0.669,50%-75%
3,ARAPAHOE,120,ENGLEWOOD 1,2750,ENGLEWOOD LEADERSHIP ACADEMY,65,N/A,N/A,43,22,N/A,N/A,0.338,25%-50%
3,ARAPAHOE,120,ENGLEWOOD 1,2752,ENGLEWOOD MIDDLE SCHOOL,308,202,35,71,237,66%,11%,0.769,75%-100%
3,ARAPAHOE,120,ENGLEWOOD 1,9620,WM E BISHOP ELEMENTARY SCHOOL,254,182,24,48,206,72%,9%,0.811,75%-100%
3,ARAPAHOE,123,SHERIDAN 2,3054,ALICE TERRY ELEMENTARY SCHOOL,260,N/A,N/A,23,237,N/A,N/A,0.912,75%-100%
3,ARAPAHOE,123,SHERIDAN 2,7837,FORT LOGAN NORTHGATE,559,457,57,45,514,82%,10%,0.919,75%-100%
3,ARAPAHOE,123,SHERIDAN 2,7842,SHERIDAN HIGH SCHOOL,345,296,24,25,320,86%,7%,0.928,75%-100%
3,ARAPAHOE,123,SHERIDAN 2,8123,SOAR ACADEMY,94,N/A,N/A,28,66,N/A,N/A,0.702,50%-75%
