,wi_elapass_hybridper_inf
553,7.008439398260665e-06
554,0.0010158693673516048
555,-0.0016238879765253249
556,-0.001181751057826461
557,3.112870223385225e-05
558,-0.0006905025880717856
559,-0.004213097246316114
560,-0.0002041890842266135
561,-6.305607464120782e-05
562,0.00017714591046586242
563,-0.0003503376003504921
564,-0.0002175900475291612
565,-0.00015891795352005473
566,3.011223302007178e-05
567,-7.745670138529401e-05
568,-7.898715589734785e-05
569,-0.00038891849463154577
570,2.1904530553561166e-05
571,-0.0006051736310843038
572,-7.582942957915718e-05
573,9.057801958899053e-05
574,0.00026455386644111655
575,0.0008890596750337405
576,0.0002109556756715253
577,-0.0005124085071853801
578,0.0003133162593913136
579,-0.0003146905073662013
580,-0.00032898921037111757
581,-1.4600037081522573e-05
582,7.887257536899319e-05
583,-0.0009664263507245575
584,-0.0002426230832049137
585,7.060680782554339e-05
586,4.5516511105975136e-07
587,-0.0006997496203803839
588,-0.00486406245617217
589,0.001681574469439335
590,0.0022437058344448126
591,0.0023841462153388958
592,-0.005259310320658349
593,-0.0009046705881888828
594,0.001020512427669668
595,-0.006050521353409991
596,-0.0007432225643446554
597,-0.0001780005267062455
598,1.2495919594889173e-05
599,-0.0006132032012497265
600,-0.001990609817575571
601,-0.0008509334322466197
602,0.006157325490837333
603,-0.0067647912169415325
604,0.00026901193256025275
605,0.0006071656761748424
606,9.6248387217428e-06
607,-0.0008947437218996075
608,-0.001025789876828036
609,0.0004709793689832893
610,0.0002439758580711331
611,-0.0003177987794501968
612,-0.0017091618548785898
613,1.1557240931106801e-05
614,-0.00017673401474222077
615,-0.00011422493616090633
616,-0.0008042687580122098
617,-0.0004931816461143701
618,0.005685886386044502
619,-0.00011094297357322914
620,-0.0005051950400993059
621,0.00040277010978485427
622,0.0014598990041506414
623,0.00382011412217916
624,-0.0005053087665873883
625,-3.0459780338162063e-05
626,-0.00036886584218324183
627,-0.001120030695795081
628,-0.00011293111423945982
629,5.9879066553772205e-05
630,1.6188100509187997e-05
631,-0.003646224151593899
632,-0.0016393648941913847
633,0.0010414426740341812
634,3.900920138441815e-05
635,0.0014682215095305014
636,-0.0004610667361985628
637,9.831181853444804e-05
638,0.00024082626763719656
639,0.000361437411693197
640,-4.1876177454149496e-05
641,-7.792908356712175e-05
642,0.0005084885874448597
643,-0.0005956595504940124
644,-0.00014836951063178035
645,-0.00012550814947131367
646,0.00011092930110708942
647,0.0002516213410057208
648,-4.0696786190783067e-05
649,-0.00013992842622490438
650,0.0001875490151722069
651,-0.00014307767445982398
652,5.611377816998227e-05
653,-8.154432157331185e-05
654,0.0001614250569380863
655,0.0005181609745395107
656,-0.00025567084868762907
657,0.00010949186458064258
658,0.00022936341583119007
659,0.00019214054004329571
660,-0.0016034584134384912
661,-0.00035291251682275943
662,5.93730449823715e-07
663,-0.004151693229244412
664,-0.0005444540677959206
665,-0.0006470774493015755
666,1.4427064747758896e-05
667,0.0005514607861066115
668,0.00043032707213168223
669,-8.31463065313713e-05
670,-0.0001670042761418809
671,-0.000954178292338425
672,-0.00011547925098027768
673,-3.1311367502414214e-05
674,-5.66912746268821e-05
675,-0.0007755169267125649
676,0.00030404349130634943
677,-0.0005731627777259391
678,-0.00021031134004494858
679,-0.00473081580118015
680,-0.0005397779882701121
681,0.0012525258703766358
682,0.00023394170337764388
683,0.0023162809029478293
684,-5.1401777566861225e-05
685,0.0008552439343923433
686,-0.0007880812407954816
687,-0.0017768286079582606
688,0.00015612425481214306
689,-0.0012141760135674867
690,0.00016236691062247816
691,-0.0020342317354848137
692,-0.0007299736587705681
693,0.0009171907868514103
694,-9.641465490119777e-05
695,2.7170019146157135e-05
696,2.0932067733166436e-05
697,2.5672235460804345e-07
698,-0.0015464870718676202
699,-0.0031102349828106795
700,-0.0021619238646552906
701,-0.00027891671659639267
702,0.0007040966171390779
703,-0.002265710721901718
704,-0.0007195367995400591
705,0.0017363291245685087
706,-0.001563138707844163
707,-0.003306607863778936
708,0.0018626370429932657
709,-0.0025849135873029275
710,0.0010612645928598683
711,-0.006528830306074399
712,0.001081592623109485
713,-3.0290421228989246e-05
714,-0.00033747346034672913
715,-0.001820463159332222
716,0.0005289542984332556
717,0.0010843738851425485
718,-0.004885489399170682
719,-0.008740111612488232
720,0.0018155775419908995
721,0.0008733690747293168
722,-3.7606444259333624e-05
723,-0.00033615788689780554
724,-0.0002654536644736672
725,0.0001433686226714047
726,-0.0005045030737552714
727,-0.002053655367657448
728,9.625049621656136e-06
729,0.009525774243262213
730,-0.007050229132466976
731,0.011357530279167983
732,5.9278583787676496e-05
733,-0.0007206593862980024
734,0.0002542368243003239
735,-0.0015992826836483212
736,0.0013500104295573368
737,-4.1403745920865104e-05
738,-0.0010102003389254853
739,-0.00033048531728454146
740,0.0006559743493270554
741,7.788105386888419e-06
742,6.604210476650778e-05
743,3.332900894302981e-05
744,6.032718994790168e-06
745,0.00020378952879902265
746,-4.265663256505187e-05
747,0.00012141549512305166
748,-0.0005473112687648806
749,0.0003572678444641755
750,-3.482108884766021e-05
751,-0.00019108441973086901
752,-0.0014329503567207119
753,-0.00011540191534602745
754,0.00028775520298112225
755,-0.0017462509555480306
756,0.0002287290404922402
757,-0.0003423277382686247
758,0.000776913271783473
759,1.4396628975566443e-05
760,-4.812206074012064e-05
761,-0.0001864550602951303
762,1.306036638825008e-05
763,9.346126740299327e-05
764,-2.3813865439475154e-05
765,-5.644816648986247e-05
766,2.3014634344279934e-05
767,0.00012640643467181866
768,-3.83416342467247e-05
769,5.912335792473475e-06
770,-6.5233898687061385e-06
771,4.3197593131260876e-05
772,-3.266531747175567e-05
773,-1.7685899544299076e-05
774,6.269617928121182e-05
775,0.00016175153342616358
776,-0.00016827475719921294
777,-6.932240310589728e-06
778,3.3397179970804507e-06
779,0.00025950666507046236
780,-0.0003876217479082805
781,4.468659518969824e-05
782,8.959834070445608e-05
783,-0.0002591421860212204
784,-0.00016467337103139097
785,-0.00032500654989743897
786,0.000285738527910126
787,-0.001376607811118485
788,-0.00013736657076862246
789,-0.00047145645370116066
790,-0.0004224589131031227
791,-0.0034016228494563525
792,0.0016595257039369092
793,-0.0002222221791530279
794,-0.0022848735251854895
795,-0.0019090139407647532
796,0.0004033533840354141
797,-0.0003753468657858769
798,-1.7184451624509393e-05
799,0.00013097290628602334
800,0.00045727927689062626
801,-1.795226713332444e-05
802,2.148336339549911e-05
803,0.0002524516708235196
804,-0.0002615058599621479
805,4.1454804809934936e-05
806,-0.00036135115779749365
807,-0.0004017043461310248
808,-0.0008977310955511153
809,0.00018183197001748767
810,-1.1554253517257778e-05
811,-0.000674590321985942
812,-0.000763723592471042
813,-0.00037076585168323967
814,-4.30402922853739e-06
815,-0.0028298206396403422
816,-0.0005655687944321803
817,-4.9235914315299015e-05
818,8.572083592742968e-05
819,0.00014068615264368486
820,8.496409826380577e-05
821,-0.00018970099627477161
822,6.55761992522661e-05
823,0.0003031199024914632
824,-0.0008583495478970596
825,3.605934111174614e-05
826,0.0008920971308847082
827,-0.0009411385230697438
828,3.624876245934654e-05
829,-0.0005644579392872667
830,0.0004148775854771993
831,-0.001517576157523778
832,-0.0001949109384099759
833,-8.224560438517254e-06
834,0.00011761269458091844
835,0.0008151146318882973
836,-0.00026068995422826106
837,4.1842765564010626e-05
838,0.00010473843834375608
839,0.00012320931349293668
840,0.0005673482907184711
841,-8.886080305089787e-07
842,-0.00010046194758245208
843,0.0009784056178205373
844,-0.000435666198604306
845,0.0001512625201187749
846,0.00030467876752354923
847,0.0018897989100790911
848,-0.0001232167768175522
849,4.443545457138798e-05
850,-0.00022475054792845759
851,-8.268288692043142e-05
852,0.0003154669739878865
853,3.72555532829182e-05
854,1.3591097750542377e-05
855,-0.00035668344722494436
856,0.00030127402080611207
857,1.89626862757761e-05
