,ed_elapass_hybridper_inf
355,-0.004736956642151266
356,1.1721016073609637e-07
357,-0.0014633436749243282
358,0.0011856583834856974
359,-0.0016947202323107033
360,0.0006403413591163624
361,0.0022123259461394773
362,-0.0018707515600236652
363,0.0024014504952685847
364,0.0002211365051094088
365,-0.0004971294367049612
366,-0.0002718151998267651
367,-0.0010312561354458127
368,-0.00912373089622223
369,-0.006910617099703555
370,0.013455948745994444
371,-0.0070954575051064
372,0.0002509081379919016
373,-0.0001577601815589397
374,6.19469519456173e-05
375,0.0004177414327961748
376,-0.020536959557637756
377,-0.004018440985767494
378,0.022562435557096208
379,-0.004355112475760369
380,-0.012839309896443496
381,0.004529987623890089
382,0.009167589695758878
383,0.007874747217572111
384,-0.0007024244961821093
385,-5.181080799424656e-05
386,0.00045240512900151717
387,-0.0010371701847685171
388,-4.9343872336592045e-05
389,-0.00026938359863979756
390,0.0002830640182940382
391,-0.0003177100513461236
392,0.00045279720117310097
393,-0.0014166849348355363
394,0.0008991801770210194
395,-9.167309618688088e-05
396,-0.00015483845361344297
397,0.00019942282752660018
398,-5.3477497029361275e-05
399,-4.86929050592837e-05
400,2.9223584823080664e-05
401,-8.832406405888576e-05
402,5.091965299850575e-07
403,-0.0002560958034138073
404,0.0002900091411055829
405,2.3584787735697316e-05
406,9.205056110355005e-06
407,0.0003294913273442966
408,-6.25933990368198e-06
409,7.569776701849896e-06
410,4.2685328560368584e-05
411,3.212448732051409e-05
412,1.5596079873348422e-05
413,5.593141145310785e-07
414,4.375793393789133e-06
415,3.235557860243291e-05
416,-0.0008470842767709887
417,0.00026098847380884413
418,2.715077447432278e-05
419,-0.0002904799825098658
420,-1.5515344983553687e-05
421,-0.00027314524052750723
422,-0.00029091430739361233
423,-0.0016956984931291975
424,-6.961423199476686e-05
425,0.00022551575515594878
426,8.857742889008976e-05
427,0.0006672775141747384
428,0.00029743854142109916
429,-0.00011573280737303836
430,5.408731797507834e-05
431,7.64818326004303e-06
432,-0.000694245772422473
433,-0.00015033678245183438
434,0.0003470076156193266
435,-0.0014432093295114548
436,-5.576933015336609e-05
437,-0.00025045904392038455
438,0.00012106810556549622
439,-0.0006683107158392932
440,8.661141148407429e-05
441,-5.010182728622969e-06
442,-1.022240233453621e-05
443,4.7602443543629426e-05
444,-2.6912127411523026e-05
445,-3.1703037848550773e-06
446,3.141342513562865e-05
447,0.00021085538916074128
448,-0.00016556172511897558
449,-7.212422844982334e-08
450,3.724025941512305e-05
451,-2.4341792109957632e-05
452,0.000542471193964128
453,-0.0003977697444622688
454,0.0005374175603757537
455,0.000274447359955403
456,9.172257839523824e-05
457,-7.046809116754013e-05
458,9.547430127121634e-05
459,0.0006218954969517796
460,-0.0002107613571422747
461,0.00020167686634640786
462,-0.00018932744442050722
463,-0.00037056809512343777
464,-0.00024311152872478545
465,0.0002534795090697646
466,-0.000149042595666457
467,-0.0006183642299846429
