,drop_ga_hybrid
709,4.3115877652752336e-05
710,-0.001412189518153338
711,0.003411079012880209
712,-0.0001461815014020278
713,0.0003241172902112335
714,7.645944158571269e-05
715,0.0009213091076266327
716,-0.0021080075361578398
717,-0.002178515324481674
718,-0.0012265345120358619
719,-0.016585877813650392
720,-0.00010974269691335669
721,-1.51777604621492e-05
722,0.00010943477646381807
723,-0.000260575282501768
724,-0.0008330170653438652
725,0.00032378096707567146
726,-0.0009535716549252398
727,-0.004612927836869679
728,-4.659070246704924e-05
729,-4.024775464113322e-06
730,3.7781254819682305e-05
731,-6.938348957221931e-05
732,0.00470719983291856
733,0.00039467196210900984
734,4.672588551471858e-05
735,0.0008698797734193303
736,-0.00013392787950728725
737,0.00010839987060760934
738,-3.900519334274195e-05
739,-7.54626185568134e-05
740,-7.921190339968915e-07
741,2.0464990642929487e-05
742,7.659693273377185e-05
743,-2.0975849237857318e-05
744,-0.00037675209098654317
745,1.8060113350079373e-05
746,0.00010331207392792962
747,0.0002808263827332284
748,-0.0012868786365336027
749,0.0002960128401160008
750,0.0009480383272728161
751,0.0017095032091821159
752,0.0008040410631924823
753,0.0001612318111676907
754,-0.00028105782965457294
755,0.0006858323144787431
756,-4.189792723133567e-05
757,-0.0001923532100950571
758,0.0006043873265820386
759,0.0007486688986042448
760,1.7829755658692248e-05
761,-5.657762257387968e-06
762,2.3072495002109115e-05
763,8.881911668785182e-05
764,-7.06418306857713e-05
765,1.0199746253279898e-05
766,5.183083394632484e-06
767,-7.832535530074123e-05
768,-8.159777056082786e-05
769,-4.611944319133234e-05
770,-0.0002063032190960661
771,-0.00017163177935033153
772,-1.798996527130123e-05
773,1.4961898722953763e-05
774,5.3149619772402205e-05
775,0.00018116449395201215
776,-9.37204810360487e-05
777,-0.00014166506551515682
778,-2.0395610424393186e-06
779,-0.000698323918616503
780,-4.3481306812322617e-07
781,-0.0003213835664386747
782,-0.00011370436604319515
783,-0.0008156058017044509
784,2.183029030892533e-06
785,4.522340595763914e-05
786,0.00015317562505174522
787,0.0003542068247508236
788,0.0002398702994890104
789,-0.0002558111186338901
790,8.00289129069891e-05
791,0.00020108928268216495
792,-0.0008539316003858321
793,-0.00017600093794721043
794,0.001150510135550014
795,0.00032656395835832253
796,-0.0002423508580249093
797,0.00033253195844444724
798,0.00027447117884260954
799,0.0011195296533417854
800,-0.0007640714017466092
801,-0.001644318216629171
802,-0.0005718221905672444
803,-0.008593203872342314
804,-0.00014845559689944036
805,0.00024366569146918614
806,-5.1375896376469444e-05
807,0.0001653158256615261
808,-1.2415421057894799e-05
809,0.0002529289262747077
810,4.5371221525012055e-05
811,0.0008351148268607739
812,0.00011887098428039745
