,mathpass_wi_virtualper_inf
444,2.127045848841163e-05
445,2.6604316192868266e-05
446,-9.952971244235472e-05
447,0.0001315746487850759
448,-0.0001535775342620621
449,0.00027892187819516303
450,-8.961604014783788e-05
451,0.0002826323901217268
452,0.0017219484786947761
453,-0.0013029887191862966
454,0.0010055714598460775
455,0.004154051703323497
456,-2.2113213687509065e-06
457,0.000447082214951665
458,0.00012024982689402547
459,2.7681515320117932e-05
460,-0.00024370163681040178
461,0.00017543914662773442
462,3.669903169187594e-05
463,-0.0007294816193059901
464,-0.000123729111833779
465,4.1394882247818084e-06
466,1.9124526472239995e-05
467,-7.785729046777982e-06
468,8.664360738105349e-06
469,8.197482544298473e-05
470,5.049296395171535e-06
471,-2.0028188524779465e-05
472,-0.0002245001653705853
473,0.00015674756201831407
474,-8.801165779910003e-05
475,0.0006129647830375246
476,-0.00012948329261131412
477,-1.55343978400958e-05
478,5.8028303081139166e-05
479,4.804727479442945e-05
480,-0.0009827557359216599
481,-0.0010030958223007616
482,7.954461118536491e-05
483,-0.00404343559862658
484,-2.3203576297961722e-05
485,-4.6683563761504236e-05
486,6.007787302857497e-06
487,-0.00011680698966815849
488,-0.0003788658609974197
489,-1.8036636115550527e-06
490,-1.1501591070478403e-05
491,-7.691822055839789e-05
492,-0.000251805622595507
493,0.0001543238817862035
494,-1.491848988652663e-05
495,-0.0007422228622579644
496,-0.0001426001245151381
497,7.792855203128924e-05
498,-2.2259085519747247e-05
499,-0.0005723320600985873
500,-6.0629312397366674e-05
501,4.1084798143100195e-06
502,-0.0014370927214675767
503,-0.0018558206560691827
504,0.00035946747392128213
