LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total,
"Academy of Building Industries, Inc.",85540,,,           _,Free Lunch,*,*,*,23,75,*,*,105,
"Academy of Building Industries, Inc.",85540,,,           _,Students With Disabilities,*,*,*,*,18,*,*,24,
"Academy of Building Industries, Inc.",85540,,,           _,Reduced Lunch,*,*,*,*,22,*,*,32,
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,All Students,*,*,*,22,90,*,*,121,
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,English Learners,*,*,*,*,*,*,*,*,
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,Free Lunch,*,*,*,23,75,*,*,105,
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,Students With Disabilities,*,*,*,*,18,*,*,24,
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,Reduced Lunch,*,*,*,*,22,*,*,32,
"Academy of Mathematics and Science South, Inc.",90878,,,           _,All Students,*,*,35,451,13,*,*,505,
"Academy of Mathematics and Science South, Inc.",90878,,,           _,English Learners,*,*,*,131,*,*,*,132,
"Academy of Mathematics and Science South, Inc.",90878,,,           _,Free Lunch,*,*,32,436,*,*,*,482,
"Academy of Mathematics and Science South, Inc.",90878,,,           _,Students With Disabilities,*,*,*,41,*,*,*,45,
"Academy of Mathematics and Science South, Inc.",90878,,,           _,Reduced Lunch,*,*,*,38,*,*,*,44,
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,All Students,*,*,35,451,13,*,*,505,
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,English Learners,*,*,*,131,*,*,*,132,
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,Free Lunch,*,*,32,436,*,*,*,482,
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,Students With Disabilities,*,*,*,41,*,*,*,45,
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,Reduced Lunch,*,*,*,38,*,*,*,44,
"Academy of Mathematics and Science, Inc.",79961,,,           _,All Students,12,*,14,284,92,*,*,419,
"Academy of Mathematics and Science, Inc.",79961,,,           _,English Learners,*,*,*,17,*,*,*,20,
"Academy of Mathematics and Science, Inc.",79961,,,           _,Free Lunch,*,*,13,202,52,*,*,281,
"Academy of Mathematics and Science, Inc.",79961,,,           _,Students With Disabilities,*,*,*,12,11,*,*,26,
"Academy of Mathematics and Science, Inc.",79961,,,           _,Reduced Lunch,*,*,*,41,15,*,*,65,
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,All Students,12,*,14,284,92,*,*,419,
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,English Learners,*,*,*,17,*,*,*,20,
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,Free Lunch,*,*,13,202,52,*,*,281,
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,Students With Disabilities,*,*,*,12,11,*,*,26,
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,Reduced Lunch,*,*,*,41,15,*,*,65,
"Academy of Mathematics and Science, Inc.",92768,,,           _,All Students,*,*,26,533,19,*,*,585,
"Academy of Mathematics and Science, Inc.",92768,,,           _,English Learners,*,*,*,188,*,*,*,191,
"Academy of Mathematics and Science, Inc.",92768,,,           _,Free Lunch,*,*,24,511,21,*,*,561,
"Academy of Mathematics and Science, Inc.",92768,,,           _,Students With Disabilities,*,*,*,49,*,*,*,60,
"Academy of Mathematics and Science, Inc.",92768,,,           _,Reduced Lunch,*,*,*,53,*,*,*,59,
"Academy of Mathematics and Science, Inc.",92768,Academy of Math and Science Camelback,92769,078270001,All Students,*,*,26,533,19,*,*,585,
"Academy of Mathematics and Science, Inc.",92768,Academy of Math and Science Camelback,92769,078270001,English Learners,*,*,*,188,*,*,*,191,
"Academy of Mathematics and Science, Inc.",92768,Academy of Math and Science Camelback,92769,078270001,Free Lunch,*,*,24,511,21,*,*,561,
"Academy of Mathematics and Science, Inc.",92768,Academy of Math and Science Camelback,92769,078270001,Students With Disabilities,*,*,*,49,*,*,*,60,
"Academy of Mathematics and Science, Inc.",92768,Academy of Math and Science Camelback,92769,078270001,Reduced Lunch,*,*,*,53,*,*,*,59,
"Academy of Tucson, Inc.",78897,,,           _,All Students,14,*,21,172,433,*,48,699,
"Academy of Tucson, Inc.",78897,,,           _,English Learners,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,,,           _,Students With Disabilities,*,*,*,*,44,*,*,58,
"Academy of Tucson, Inc.",78897,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,All Students,*,*,*,71,181,*,18,284,
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,English Learners,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,Free Lunch,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,Students With Disabilities,*,*,*,*,22,*,*,27,
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,Reduced Lunch,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,All Students,*,*,*,34,99,*,*,155,
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,English Learners,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,Free Lunch,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,Students With Disabilities,*,*,*,*,*,*,*,12,
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,Reduced Lunch,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,All Students,*,*,*,67,153,*,22,260,
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,English Learners,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,Free Lunch,*,*,*,*,*,*,*,*,
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,Students With Disabilities,*,*,*,*,16,*,*,19,
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,Reduced Lunch,*,*,*,*,*,*,*,*,
Academy with Community Partners  Inc,79213,,,           _,All Students,*,*,*,72,39,*,*,128,
Academy with Community Partners  Inc,79213,,,           _,English Learners,*,*,*,*,*,*,*,*,
