Fiscal Year,LEA Name,LEA Entity ID,School Name,School Entity ID,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Multi_race_non_Hispanic,Total
2018,ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,Free Lunch,*,*,*,21,*,*,*,*,28
2018,ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,Reduced Lunch,*,*,*,*,*,*,*,*,11
2018,ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,Free and Reduced Lunch,*,*,*,24,*,*,*,*,39
2018,ASU Preparatory Academy Digital,522074,,,All Students,*,*,*,*,26,*,*,*,38
2018,ASU Preparatory Academy Digital,522074,,,English Language Learner,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy Digital,522074,,,Free Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy Digital,522074,,,Students with Disabilities,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy Digital,522074,,,Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy Digital,522074,,,Free and Reduced Lunch,*,*,*,*,*,*,*,*,*
2018,ASU Preparatory Academy Digital,522074,ASU Preparatory Academy Digital,860177,All Students,*,*,*,*,26,*,*,*,38
