year,mergecode,lowincome
17,79233-78851,98.0
17,78965-79178,87.0
17,79876-10749,83.0
17,79878-6349,95.0
17,90330-89867,99.0
17,79871-79177,95.0
17,80072-80074,99.0
17,4396-5642,99.0
17,4396-5641,87.0
17,4396-5644,80.0
17,80382-80383,98.0
17,80354-87941,96.0
17,91262-91263,90.0
17,79598-5577,81.0
17,79598-5576,80.0
17,79598-90667,78.0
17,79598-5571,51.0
17,79598-5595,62.0
17,79598-5575,77.0
17,79598-5572,72.0
17,79598-91772,45.0
17,79598-5573,59.0
17,79598-5580,87.0
17,79598-88409,53.0
17,4480-6115,77.0
17,4267-5302,27.0
17,4267-5298,25.0
17,4267-5297,7.0
17,4267-5296,25.0
17,4267-5299,39.0
17,4267-5308,37.0
17,4267-5315,28.0
17,4267-78923,22.0
17,4267-5310,32.0
17,4267-5314,23.0
17,4267-5307,29.0
17,4267-5313,10.0
17,4267-5316,25.0
17,4267-5304,47.0
17,4267-5318,36.0
17,4267-5317,6.0
17,4267-5311,29.0
17,4267-5305,71.0
17,4267-5306,19.0
17,4267-79143,33.0
17,4267-5303,36.0
17,4267-5300,28.0
17,4267-5301,49.0
17,4267-5312,14.0
17,4267-5309,41.0
17,7909-80449,80.0
17,7909-80450,80.0
17,7909-80448,80.0
17,4368-5561,73.0
17,4368-78979,36.0
17,4368-5565,42.0
17,4368-5563,64.0
17,4368-5564,58.0
17,4368-5559,64.0
17,4368-5562,38.0
17,4368-5560,56.0
17,4276-84305,76.0
17,4276-89266,72.0
17,4276-5356,61.0
17,4276-5357,88.0
17,4276-756942,66.0
17,4276-91310,75.0
17,4276-88421,71.0
17,4276-5358,38.0
17,79967-89616,52.0
17,79967-87416,21.0
17,79967-79968,36.0
17,91174-91175,40.0
17,91174-91765,42.0
17,90637-90638,50.0
17,9689-80374,77.0
17,4266-5295,23.0
17,4266-87475,68.0
17,4266-92706,48.0
17,4266-5294,63.0
17,4266-79652,72.0
17,4266-79846,19.0
17,79926-90755,84.5
17,79926-79927,74.5
17,4281-87522,57.0
17,4281-80054,48.0
17,4281-85843,47.0
17,4281-90385,51.0
17,4281-5393,22.0
17,4281-90550,24.0
17,4281-5396,29.0
17,4281-78925,51.0
17,4281-5394,30.0
17,4281-89586,20.0
17,4281-92878,25.0
17,4281-85844,22.0
17,4281-5395,28.0
17,4281-79221,46.0
17,92648-88064,92.0
17,4374-5579,74.0
17,4374-85821,72.0
17,4278-7408,69.0
17,4278-90771,67.0
17,4278-79618,75.0
17,4278-87476,82.0
17,4278-89608,79.0
17,4278-530879,78.0
17,4278-5360,79.0
17,4278-85852,84.0
17,4278-89924,83.0
17,10126-80261,77.0
17,4270-5324,46.0
17,4270-5325,76.0
17,4270-5330,29.0
17,4270-92605,46.0
17,4270-5329,23.0
17,4270-5328,70.0
