LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total
"Ahwatukee Foothills Prep Early College High School, Inc.",90758,Mosaica Online High School of Arizona,91246,078582002,Sped Students,*,*,*,*,*,*,*,*
"Ahwatukee Foothills Prep, Inc.",85875,,,           _,All Students,*,*,83,72,73,*,13,253
"Ahwatukee Foothills Prep, Inc.",85875,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Ahwatukee Foothills Prep, Inc.",85875,,,           _,Free Lunch Students,*,*,63,47,38,*,*,160
"Ahwatukee Foothills Prep, Inc.",85875,,,           _,Sped Students,*,*,*,*,*,*,*,19
"Ahwatukee Foothills Prep, Inc.",85875,Mosaica Online of Arizona,91184,078501002,All Students,*,*,*,21,38,*,*,75
"Ahwatukee Foothills Prep, Inc.",85875,Mosaica Online of Arizona,91184,078501002,ELL Students,*,*,*,*,*,*,*,*
"Ahwatukee Foothills Prep, Inc.",85875,Mosaica Online of Arizona,91184,078501002,Free Lunch Students,*,*,*,12,13,*,*,33
"Ahwatukee Foothills Prep, Inc.",85875,Mosaica Online of Arizona,91184,078501002,Sped Students,*,*,*,*,*,*,*,*
"Ahwatukee Foothills Prep, Inc.",85875,Mosaica Preparatory Academy of Chandler,85881,078501001,All Students,*,*,76,51,35,*,*,178
"Ahwatukee Foothills Prep, Inc.",85875,Mosaica Preparatory Academy of Chandler,85881,078501001,ELL Students,*,*,*,*,*,*,*,*
"Ahwatukee Foothills Prep, Inc.",85875,Mosaica Preparatory Academy of Chandler,85881,078501001,Free Lunch Students,*,*,59,35,25,*,*,127
"Ahwatukee Foothills Prep, Inc.",85875,Mosaica Preparatory Academy of Chandler,85881,078501001,Sped Students,*,*,*,*,*,*,*,15
Ajo Unified District,4409,,,           _,All Students,18,62,*,290,52,*,*,428
Ajo Unified District,4409,,,           _,ELL Students,*,*,*,42,*,*,*,45
Ajo Unified District,4409,,,           _,Free Lunch Students,*,*,*,16,*,*,*,30
Ajo Unified District,4409,,,           _,Sped Students,*,*,*,29,*,*,*,44
Ajo Unified District,4409,Ajo Elementary School,5831,100215001,All Students,*,44,*,213,42,*,*,314
Ajo Unified District,4409,Ajo Elementary School,5831,100215001,ELL Students,*,*,*,32,*,*,*,34
Ajo Unified District,4409,Ajo Elementary School,5831,100215001,Free Lunch Students,*,*,*,14,*,*,*,25
Ajo Unified District,4409,Ajo Elementary School,5831,100215001,Sped Students,*,*,*,20,*,*,*,30
Ajo Unified District,4409,Ajo High School,6292,100215002,All Students,*,18,*,77,*,*,*,114
Ajo Unified District,4409,Ajo High School,6292,100215002,ELL Students,*,*,*,*,*,*,*,11
Ajo Unified District,4409,Ajo High School,6292,100215002,Free Lunch Students,*,*,*,*,*,*,*,*
Ajo Unified District,4409,Ajo High School,6292,100215002,Sped Students,*,*,*,*,*,*,*,14
"Akimel O Otham Pee Posh Charter School, Inc.",5978,,,           _,All Students,*,178,*,*,*,*,*,181
"Akimel O Otham Pee Posh Charter School, Inc.",5978,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Akimel O Otham Pee Posh Charter School, Inc.",5978,,,           _,Free Lunch Students,*,156,*,*,*,*,*,158
"Akimel O Otham Pee Posh Charter School, Inc.",5978,,,           _,Sped Students,*,22,*,*,*,*,*,23
"Akimel O Otham Pee Posh Charter School, Inc.",5978,Akimel O'Otham Pee Posh (K-2),10797,118705001,All Students,*,178,*,*,*,*,*,181
"Akimel O Otham Pee Posh Charter School, Inc.",5978,Akimel O'Otham Pee Posh (K-2),10797,118705001,ELL Students,*,*,*,*,*,*,*,*
"Akimel O Otham Pee Posh Charter School, Inc.",5978,Akimel O'Otham Pee Posh (K-2),10797,118705001,Free Lunch Students,*,156,*,*,*,*,*,158
"Akimel O Otham Pee Posh Charter School, Inc.",5978,Akimel O'Otham Pee Posh (K-2),10797,118705001,Sped Students,*,22,*,*,*,*,*,23
"Akimel O'Otham Pee Posh Charter School, Inc.",78966,,,           _,All Students,*,162,*,*,*,*,*,165
"Akimel O'Otham Pee Posh Charter School, Inc.",78966,,,           _,ELL Students,*,*,*,*,*,*,*,*
"Akimel O'Otham Pee Posh Charter School, Inc.",78966,,,           _,Free Lunch Students,*,134,*,*,*,*,*,136
"Akimel O'Otham Pee Posh Charter School, Inc.",78966,,,           _,Sped Students,*,*,*,*,*,*,*,*
"Akimel O'Otham Pee Posh Charter School, Inc.",78966,Akimel O'Otham Pee Posh (3-5),78967,118706001,All Students,*,162,*,*,*,*,*,165
"Akimel O'Otham Pee Posh Charter School, Inc.",78966,Akimel O'Otham Pee Posh (3-5),78967,118706001,ELL Students,*,*,*,*,*,*,*,*
"Akimel O'Otham Pee Posh Charter School, Inc.",78966,Akimel O'Otham Pee Posh (3-5),78967,118706001,Free Lunch Students,*,134,*,*,*,*,*,136
