year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
19,4391-5618arizona,4391arizona,0.0,11.0,79.93,827,29.0,1.74,40782000694,0.0,0.0,1.0,0.0,0,arizona,0
21,4391-5618arizona,4391arizona,0.0,11.46,79.22,794,32.0,3.03,40782000694,1.0,0.0,0.0,0.5,0,arizona,1
17,92043-92044arizona,92043arizona,8.7,83.54,4.97,322,68.0,25.77,40088003398,0.0,0.0,1.0,0.0,1,arizona,0
18,92043-92044arizona,92043arizona,7.48,84.74,4.67,321,67.0,24.2,40088003398,0.0,0.0,1.0,0.0,1,arizona,0
19,92043-92044arizona,92043arizona,8.0,84.33,4.67,300,88.0,15.59,40088003398,0.0,0.0,1.0,0.0,1,arizona,0
21,92043-92044arizona,92043arizona,8.0,82.4,5.6,250,88.0,14.5,40088003398,1.0,0.0,0.0,0.5,1,arizona,1
17,91992-92497arizona,91992arizona,0.0,61.33,0.0,75,77.0,6.54,40090703427,0.0,0.0,1.0,0.0,1,arizona,0
18,91992-92497arizona,91992arizona,0.0,63.93,0.0,61,92.0,10.53,40090703427,0.0,0.0,1.0,0.0,1,arizona,0
19,91992-92497arizona,91992arizona,0.0,67.69,0.0,65,97.0,11.32,40090703427,0.0,0.0,1.0,0.0,1,arizona,0
21,91992-92497arizona,91992arizona,0.0,82.67,0.0,75,95.0,13.58,40090703427,0.2,0.8,0.0,0.9,1,arizona,1
17,4407-5826arizona,4407arizona,3.86,85.19,5.96,2046,72.0,4.13,40817001438,0.0,0.0,1.0,0.0,0,arizona,0
18,4407-5826arizona,4407arizona,3.28,85.89,5.63,2041,76.0,2.69,40817001438,0.0,0.0,1.0,0.0,0,arizona,0
19,4407-5826arizona,4407arizona,4.01,85.19,5.94,2120,75.0,4.13,40817001438,0.0,0.0,1.0,0.0,0,arizona,0
21,4407-5826arizona,4407arizona,3.47,85.93,5.47,2047,75.0,7.67,40817001438,0.4,0.6,0.0,0.8,0,arizona,1
17,4407-6288arizona,4407arizona,0.0,89.06,0.0,256,82.0,19.33,40817000153,0.0,0.0,1.0,0.0,0,arizona,0
18,4407-6288arizona,4407arizona,0.0,89.12,0.0,193,74.0,13.65,40817000153,0.0,0.0,1.0,0.0,0,arizona,0
