year,districtcode,schoolcode,elapass,mathpass,totaltest,mergecode
17,6335,100,39.76,27.71,83,6335-100
17,6354,100,21.74,21.74,23,6354-100
17,6370,80,39.44,42.96,142,6370-80
17,6384,100,31.11,26.67,45,6384-100
17,6419,100,73.98,66.67,246,6419-100
17,6426,120,23.64,23.64,55,6426-120
17,6440,40,23.08,,13,6440-40
17,6461,140,33.83,33.83,133,6461-140
17,6461,9803,33.33,11.11,9,6461-9803
17,6470,100,48.34,44.55,211,6470-100
17,6475,60,20.51,35.9,39,6475-60
17,6482,40,63.04,56.52,46,6482-40
17,6545,20,42.17,37.75,249,6545-20
17,6608,60,62.6,51.22,123,6608-60
17,6615,80,15.38,15.38,13,6615-80
17,6678,100,39.56,27.47,91,6678-100
17,6685,160,38.31,30.7,355,6685-160
17,6692,140,37.5,43.18,88,6692-140
17,6713,80,20.83,16.67,24,6713-80
17,6734,40,45.6,48.8,125,6734-40
17,8001,8115,12.24,14.29,49,8001-8115
17,8001,8124,27.63,19.74,76,8001-8124
17,8106,1251,16.67,16.67,42,8106-1251
17,8127,400,7.58,7.58,66,8127-400
17,8131,400,8.0,4.0,25,8131-400
