year,mergecode,mathpass,elapass,totaltest,totalenroll,white,black,hispanic,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,districtcode,state,year_21
19,490812000260001,39.4,37.5,104,438,90.6,1.6,4.6,20.1,3.7,173618003747,0.0,0.0,1.0,0.0,49081200026il,il,0
21,490812000260001,25.8,25.8,93,423,89.6,0.0,6.4,23.6,1.0,173618003747,0.6,0.0,0.4,0.3,49081200026il,il,1
17,490813000260001,45.5,62.3,77,367,95.9,0.0,1.9,19.9,1.6,173444003549,0.0,0.0,1.0,0.0,49081300026il,il,0
18,490813000260001,38.5,42.2,83,350,94.0,0.0,2.9,22.9,0.6,173444003549,0.0,0.0,1.0,0.0,49081300026il,il,0
19,490813000260001,32.6,40.2,92,360,96.1,0.3,2.2,20.6,2.3,173444003549,0.0,0.0,1.0,0.0,49081300026il,il,0
21,490813000260001,40.0,39.0,95,354,94.4,0.0,0.0,17.2,2.2,173444003549,0.2,0.0,0.8,0.1,49081300026il,il,1
17,500820090260003,40.7,29.6,155,272,69.9,21.0,1.5,41.9,2.7,172230002498,0.0,0.0,1.0,0.0,50082009026il,il,0
18,500820090260003,23.1,30.8,39,263,71.5,17.9,0.0,41.1,1.4,172230002498,0.0,0.0,1.0,0.0,50082009026il,il,0
19,500820090260003,17.2,24.1,29,274,72.3,16.1,1.1,42.3,5.0,172230002498,0.0,0.0,1.0,0.0,50082009026il,il,0
21,500820090260003,5.0,30.0,20,266,68.8,19.2,0.0,35.0,1.4,172230002498,0.7,0.1,0.2,0.45,50082009026il,il,1
17,500820190260001,34.9,40.2,246,1059,70.8,13.7,5.1,17.8,0.7,172494002701,0.0,0.0,1.0,0.0,50082019026il,il,0
18,500820190260001,38.4,48.6,224,1078,70.2,13.5,5.8,19.1,0.6,172494002701,0.0,0.0,1.0,0.0,50082019026il,il,0
19,500820190260001,53.7,53.1,270,1086,72.1,12.7,7.6,21.5,5.6,172494002701,0.0,0.0,1.0,0.0,50082019026il,il,0
21,500820190260001,39.4,46.1,270,1121,71.3,9.4,8.5,16.6,2.4,172494002701,0.6,0.1,0.3,0.4,50082019026il,il,1
17,500820400260001,24.4,13.3,133,268,96.6,0.0,0.4,59.7,1.6,172465002672,0.0,0.0,1.0,0.0,50082040026il,il,0
18,500820400260001,13.2,18.9,53,255,96.1,0.0,0.0,59.2,1.1,172465002672,0.0,0.0,1.0,0.0,50082040026il,il,0
19,500820400260001,29.3,26.8,41,250,93.6,0.4,1.2,59.6,2.2,172465002672,0.0,0.0,1.0,0.0,50082040026il,il,0
21,500820400260001,20.0,20.0,35,235,90.2,0.0,0.0,60.4,0.7,172465002672,0.45,0.0,0.55,0.23,50082040026il,il,1
17,500820600260003,22.9,41.7,48,170,97.1,0.0,1.2,25.9,2.4,172796002958,0.0,0.0,1.0,0.0,50082060026il,il,0
18,500820600260003,20.8,25.0,24,163,97.5,0.0,0.0,32.5,1.2,172796002958,0.0,0.0,1.0,0.0,50082060026il,il,0
19,500820600260003,8.8,24.4,45,148,95.3,2.7,0.7,31.8,1.8,172796002958,0.0,0.0,1.0,0.0,50082060026il,il,0
21,500820600260003,6.3,21.9,32,142,95.8,0.0,0.0,47.9,2.1,172796002958,0.5,0.1,0.4,0.35,50082060026il,il,1
17,500820770160001,46.1,48.9,145,661,96.1,1.7,1.2,16.5,0.6,171584001892,0.0,0.0,1.0,0.0,50082077016il,il,0
18,500820770160001,41.9,41.2,148,633,94.5,0.0,0.0,13.6,0.5,171584001892,0.0,0.0,1.0,0.0,50082077016il,il,0
19,500820770160001,53.5,50.6,174,654,95.0,0.5,1.7,14.1,1.9,171584001892,0.0,0.0,1.0,0.0,50082077016il,il,0
21,500820770160001,29.1,36.6,175,650,94.6,0.0,2.3,12.9,1.9,171584001892,1.0,0.0,0.0,0.5,50082077016il,il,1
17,500821870260011,2.5,3.5,213,927,6.8,90.5,1.4,84.3,5.6,170804000409,0.0,0.0,1.0,0.0,50082187026il,il,0
18,500821870260011,1.1,3.8,185,883,6.0,90.6,1.6,84.8,7.4,170804000409,0.0,0.0,1.0,0.0,50082187026il,il,0
19,500821870260011,1.5,4.5,135,772,5.2,90.5,1.8,91.2,11.8,170804000409,0.0,0.0,1.0,0.0,50082187026il,il,0
21,500821870260011,5.7,3.4,88,784,4.2,90.7,1.7,91.5,7.0,170804000409,0.1,0.9,0.0,0.95,50082187026il,il,1
17,50082189022001C,3.8,7.7,26,109,0.9,97.2,0.9,98.2,0.0,171332003770,0.0,0.0,1.0,0.0,50082189022il,il,0
18,50082189022001C,4.3,13.0,23,107,0.0,97.2,0.0,87.9,0.9,171332003770,0.0,0.0,1.0,0.0,50082189022il,il,0
19,50082189022001C,5.7,2.9,37,113,0.9,96.5,0.9,97.3,4.9,171332003770,0.0,0.0,1.0,0.0,50082189022il,il,0
21,50082189022001C,4.3,4.3,23,113,0.0,99.1,0.0,100.0,1.9,171332003770,1.0,0.0,0.0,0.5,50082189022il,il,1
